Index,Fixture,Date,Promotion,Match type,Event,WON rating
5834,Ricochet vs. Samoa Joe,09/02/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1371 ,
5835,Baron Corbin vs. Cedric Alexander,09/02/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1371 ,
5836,Andrade vs. Chad Gable,09/03/2019,World Wrestling Entertainment,Singles,WWE SmackDown Live #1046 ,***1/2
5837,Ali vs. Elias,09/03/2019,World Wrestling Entertainment,Singles,WWE SmackDown Live #1046 ,***1/2
5838,Humberto Carrillo vs. Lince Dorado,09/03/2019,World Wrestling Entertainment,Singles,WWE 205 Live #145 ,
5839,Mike Kanellis vs. Tony Nese,09/03/2019,World Wrestling Entertainment,Singles,WWE 205 Live #145 ,
5840,Bayley & Sasha Banks vs. Becky Lynch & Charlotte Flair,09/09/2019,World Wrestling Entertainment,Tag Team,WWE Monday Night RAW #1372 ,
5841,Baron Corbin vs. Ricochet vs. Samoa Joe,09/09/2019,World Wrestling Entertainment,Triple Threat,WWE Monday Night RAW #1372 ,
5842,"AJ Styles, Dolph Ziggler, Karl Anderson, Luke Gallows & Robert Roode vs. Braun Strowman, Cedric Alexander, Erik, Ivar & Seth Rollins",09/09/2019,World Wrestling Entertainment,Ten Man Tag Team,WWE Monday Night RAW #1372 ,
5843,AJ Styles vs. Cedric Alexander,09/09/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1372 ,
5844,Gran Metalik vs. Rey Mysterio,09/09/2019,World Wrestling Entertainment,Singles,WWE Monday Night RAW #1372 ,
5845,Chad Gable vs. Shane McMahon,09/10/2019,World Wrestling Entertainment,Best Two Out Of Three Falls,WWE SmackDown Live #1047 ,
5846,Andrade vs. The Miz,09/10/2019,World Wrestling Entertainment,Singles,WWE SmackDown Live #1047 ,
5847,Alexa Bliss & Nikki Cross vs. Mandy Rose & Sonya Deville,09/15/2019,World Wrestling Entertainment,Tag Team,WWE Clash Of Champions 2019 ,*3/4
