Index,Fixture,Date,Promotion,Match type,Event,WON rating
0,The British Bulldog vs. X-Pac,10/02/1999,World Wrestling Federation,Singles,WWF Rebellion 1999 ,
1,Kane vs. The Big Show,10/02/1999,World Wrestling Federation,No Disqualification,WWF Rebellion 1999 ,
2,Ivory vs. Jacqueline vs. Luna vs. Tori,10/02/1999,World Wrestling Federation,Four Way,WWF Rebellion 1999 ,
3,Gangrel vs. The Godfather,10/02/1999,World Wrestling Federation,Singles,WWF Rebellion 1999 ,
4,D-Lo Brown vs. Jeff Jarrett,10/02/1999,World Wrestling Federation,Singles,WWF Rebellion 1999 ,
5,Chris Jericho vs. The Rock,10/04/1999,World Wrestling Federation,Singles,WWF RAW is WAR #332 ,
6,Mankind vs. The British Bulldog,10/05/1999,World Wrestling Federation,Singles,WWF SmackDown #8 ,
7,Christian & Edge vs. Jeff Hardy & Matt Hardy,10/05/1999,World Wrestling Federation,Texas Tornado Tag Team,WWF SmackDown #8 ,
8,Hardcore Holly vs. The Road Dogg,10/05/1999,World Wrestling Federation,Singles,WWF SmackDown #8 ,
9,The Rock vs. Val Venis,10/05/1999,World Wrestling Federation,No Disqualification,WWF SmackDown #8 ,
10,Mankind & The Rock vs. The British Bulldog & Val Venis,10/11/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #333 ,
11,Chyna & Triple H vs. Jim Ross & Steve Austin,10/11/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #333 ,
12,Buh Buh Ray Dudley & D-Von Dudley vs. Mideon & Viscera,10/11/1999,World Wrestling Federation,Tag Team,WWF Jakked #8 ,
13,Mankind & The Rock vs. Mr. Ass & The Road Dogg,10/12/1999,World Wrestling Federation,Tag Team,WWF SmackDown #9 ,
14,Christian & Edge vs. Jeff Hardy & Matt Hardy,10/12/1999,World Wrestling Federation,Tag Team,WWF SmackDown #9 ,
15,Chyna vs. Jeff Jarrett,10/17/1999,World Wrestling Federation,Good Housekeeping,WWF No Mercy 1999 ,***1/4
16,Christian & Edge vs. Jeff Hardy & Matt Hardy,10/17/1999,World Wrestling Federation,Tag Team Ladder,WWF No Mercy 1999 ,****1/2
17,Steve Austin vs. Triple H,10/17/1999,World Wrestling Federation,No Holds Barred,WWF No Mercy 1999 ,****
18,Bradshaw vs. Faarooq vs. Kane vs. X-Pac,10/17/1999,World Wrestling Federation,Fatal Four Way Elimination,WWF No Mercy 1999 ,
19,Mankind vs. Val Venis,10/17/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
20,The British Bulldog vs. The Rock,10/17/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
21,Crash Holly & Hardcore Holly vs. Mr. Ass & The Road Dogg,10/17/1999,World Wrestling Federation,Tag Team,WWF No Mercy 1999 ,
22,Mideon vs. The Godfather,10/17/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
23,Crash Holly & Hardcore Holly vs. Mankind & The Rock,10/18/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #334 ,
24,Bradshaw & Faarooq vs. Mr. Ass & The Road Dogg,10/18/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #334 ,
25,Chris Jericho vs. D-Lo Brown,10/19/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #65 ,
26,Mankind vs. The Rock,10/19/1999,World Wrestling Federation,Singles,WWF SmackDown #10 ,
27,Steve Austin vs. Val Venis,10/19/1999,World Wrestling Federation,Singles,WWF SmackDown #10 ,
28,Mr. Ass & The Road Dogg vs. Steve Austin & The Rock,10/25/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #335 ,
29,Mankind vs. Triple H,10/25/1999,World Wrestling Federation,Singles,WWF RAW is WAR #335 ,
30,Mankind vs. Val Venis,10/26/1999,World Wrestling Federation,Singles,WWF SmackDown #11 ,
31,D-Lo Brown vs. The British Bulldog,10/26/1999,World Wrestling Federation,Singles,WWF SmackDown #11 ,
32,Shane McMahon vs. Triple H,11/01/1999,World Wrestling Federation,Singles,WWF RAW is WAR #336 ,
33,"Brian Christopher, Crash Holly, Hardcore Holly & Scott Taylor vs. Christian, Edge, Jeff Hardy & Matt Hardy",11/01/1999,World Wrestling Federation,Eight Man Tag Team,WWF RAW is WAR #336 ,
34,Mr. Ass vs. Steve Austin,11/01/1999,World Wrestling Federation,Singles,WWF RAW is WAR #336 ,
35,"Kane, Shane McMahon, Steve Austin & The Rock vs. Mr. Ass, The Road Dogg, Triple H & X-Pac",11/02/1999,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF SmackDown #12 ,
36,Al Snow & Mankind vs. Crash Holly & Hardcore Holly,11/02/1999,World Wrestling Federation,Tag Team,WWF SmackDown #12 ,
37,Test vs. Triple H,11/08/1999,World Wrestling Federation,Singles,WWF RAW is WAR #337 ,
38,The Rock vs. X-Pac,11/08/1999,World Wrestling Federation,Singles,WWF RAW is WAR #337 ,
39,"Kane, Shane McMahon, Test & The Rock vs. Mr. Ass, The Road Dogg, Triple H & X-Pac",11/09/1999,World Wrestling Federation,Eight Man Tag Team Elimination,WWF SmackDown #13 ,
40,The Big Show vs. The Rock vs. Triple H,11/14/1999,World Wrestling Federation,Triple Threat,WWF Survivor Series 1999 ,
41,"Christian, Edge, Jeff Hardy & Matt Hardy vs. Crash Holly, Grandmaster Sexay, Hardcore Holly & Scotty 2 Hotty",11/14/1999,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1999 ,
42,"Gangrel, Mark Henry, Steve Blackman & Val Venis vs. Joey Abs, Pete Gas, Rodney & The British Bulldog",11/14/1999,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1999 ,
43,Kurt Angle vs. Shawn Stasiak,11/14/1999,World Wrestling Federation,Singles,WWF Survivor Series 1999 ,
44,"Bradshaw, Buh Buh Ray Dudley, D-Von Dudley & Faarooq vs. D-Lo Brown, Mosh, The Godfather & Thrasher",11/14/1999,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1999 ,
45,Al Snow & Mankind vs. Mr. Ass & The Road Dogg,11/14/1999,World Wrestling Federation,Tag Team,WWF Survivor Series 1999 ,
46,Chris Jericho vs. Chyna,11/14/1999,World Wrestling Federation,Singles,WWF Survivor Series 1999 ,
47,Bradshaw & Faarooq vs. Triple H,11/22/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #339 ,
48,Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge,11/22/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #339 ,
49,Funaki & Taka Michinoku vs. Mosh & Thrasher,11/23/1999,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #70 ,
50,Bradshaw & Faarooq vs. Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge,11/23/1999,World Wrestling Federation,Three Way Tag Team,WWF Sunday Night Heat #70 ,
51,Shane McMahon & Test vs. Triple H & X-Pac,11/23/1999,World Wrestling Federation,Tag Team,WWF SmackDown #15 ,
52,Test vs. Triple H,11/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #340 ,
53,Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge,11/30/1999,World Wrestling Federation,Tag Team,WWF SmackDown #16 ,
54,"Jeff Hardy, Matt Hardy & The Big Show vs. Mr. Ass, The Road Dogg & X-Pac",11/30/1999,World Wrestling Federation,Six Man Tag Team,WWF SmackDown #16 ,
55,Al Snow & Chris Jericho vs. Mankind & The Rock,12/06/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #341 ,
56,Kane & Test vs. Triple H & X-Pac,12/06/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #341 ,
57,Al Snow vs. Mankind,12/07/1999,World Wrestling Federation,Singles,WWF SmackDown #17 ,
58,Bradshaw & Faarooq vs. Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge vs. Grandmaster Sexay & Scotty 2 Hotty vs. Jeff Hardy & Matt Hardy vs. Mark Henry & The Godfather vs. Mosh & Thrasher vs. Pete Gas & Rodney,12/12/1999,World Wrestling Federation,Tag Team Battle Royal,WWF Armageddon 1999 ,
59,Mankind & The Rock vs. Mr. Ass & The Road Dogg,12/12/1999,World Wrestling Federation,Tag Team,WWF Armageddon 1999 ,
60,Kane vs. X-Pac,12/12/1999,World Wrestling Federation,Steel Cage,WWF Armageddon 1999 ,
61,D-Lo Brown vs. The British Bulldog vs. Val Venis,12/12/1999,World Wrestling Federation,Triple Threat,WWF Armageddon 1999 ,
62,Triple H vs. Vince McMahon,12/12/1999,World Wrestling Federation,No Holds Barred,WWF Armageddon 1999 ,
63,Kurt Angle vs. Steve Blackman,12/12/1999,World Wrestling Federation,Singles,WWF Armageddon 1999 ,
64,Chris Jericho vs. Chyna,12/12/1999,World Wrestling Federation,Singles,WWF Armageddon 1999 ,
65,Mr. Ass & The Road Dogg vs. Test & Triple H,12/13/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #342 ,
66,Buh Buh Ray Dudley & D-Von Dudley vs. Mankind & The Rock,12/13/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #342 ,
67,Christian & Edge vs. Jeff Hardy & Matt Hardy,12/13/1999,World Wrestling Federation,Steel Cage Tag Team,WWF RAW is WAR #342 ,
68,The Big Show vs. The Rock,12/14/1999,World Wrestling Federation,Singles,WWF SmackDown #18 ,
69,"Crash Holly, Hardcore Holly & Viscera vs. Grandmaster Sexay, Rikishi Phatu & Scotty 2 Hotty",12/14/1999,World Wrestling Federation,Six Man Tag Team,WWF SmackDown #18 ,
70,Jeff Hardy vs. Matt Hardy,12/14/1999,World Wrestling Federation,Singles,WWF SmackDown #18 ,
71,Al Snow vs. Mankind,12/14/1999,World Wrestling Federation,Falls Count Anywhere,WWF SmackDown #18 ,
72,"Grandmaster Sexay, Rikishi Phatu & Scotty 2 Hotty vs. Joey Abs, Pete Gas & Rodney",12/20/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #343 ,
73,Al Snow vs. The Rock,12/20/1999,World Wrestling Federation,Brahma Bullrope,WWF RAW is WAR #343 ,
74,Christian & Jeff Hardy vs. Edge & Matt Hardy,12/20/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #343 ,
75,Kane vs. The Big Show,12/20/1999,World Wrestling Federation,Singles,WWF RAW is WAR #343 ,
76,Mankind vs. The Big Show,12/21/1999,World Wrestling Federation,Singles,WWF SmackDown #19 ,
77,Al Snow vs. The Rock,12/21/1999,World Wrestling Federation,Steel Cage,WWF SmackDown #19 ,
78,The Big Show vs. Triple H,12/27/1999,World Wrestling Federation,Singles,WWF RAW is WAR #344 ,
79,Mankind vs. The Rock,12/27/1999,World Wrestling Federation,Pink Slip On A Pole,WWF RAW is WAR #344 ,
80,D-Lo Brown vs. Val Venis,12/28/1999,World Wrestling Federation,Singles,WWF Sunday Night Heat #75 ,
81,Christian & Edge vs. D-Lo Brown & Val Venis,12/28/1999,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #75 ,
82,"Mr. Ass, The Road Dogg & X-Pac vs. The Big Show",12/28/1999,World Wrestling Federation,Three On One Handicap,WWF SmackDown #20 ,
83,Kane vs. The Rock,12/28/1999,World Wrestling Federation,No Holds Barred,WWF SmackDown #20 ,
84,"Mr. Ass, The Road Dogg & X-Pac vs. The Rock",01/03/2000,World Wrestling Federation,Three On One Handicap You're Fired,WWF RAW is WAR #345 ,
85,Al Snow vs. Jeff Hardy,01/03/2000,World Wrestling Federation,Steel Cage,WWF RAW is WAR #345 ,
86,The Big Show vs. Triple H,01/03/2000,World Wrestling Federation,Singles,WWF RAW is WAR #345 ,
87,Kane vs. The Road Dogg,01/04/2000,World Wrestling Federation,Singles,WWF SmackDown #21 ,
88,Rikishi Phatu vs. Triple H,01/04/2000,World Wrestling Federation,Singles,WWF SmackDown #21 ,
89,Grandmaster Sexay & Scotty 2 Hotty vs. Mosh & Thrasher,01/04/2000,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #76 ,
90,"Billy Gunn, The Road Dogg, Triple H & X-Pac vs. Bradshaw, Faarooq, Mankind & The Rock",01/10/2000,World Wrestling Federation,Eight Man Tag Team,WWF RAW is WAR #346 ,***1/2
91,"Bradshaw, Faarooq, Mankind & The Rock vs. Mr. Ass, The Road Dogg, Triple H & X-Pac",01/10/2000,World Wrestling Federation,Eight Man Tag Team,WWF RAW is WAR #346 ,
92,Christian vs. Gangrel,01/10/2000,World Wrestling Federation,Singles,WWF Jakked #21 ,
93,The Big Show & The Rock vs. Triple H & X-Pac,01/11/2000,World Wrestling Federation,Tag Team,WWF SmackDown #22 ,
94,Mr. Ass & The Road Dogg vs. The Big Show & The Rock,01/17/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #347 ,
95,Buh Buh Ray Dudley & D-Von Dudley vs. Jeff Hardy & Matt Hardy,01/23/2000,World Wrestling Federation,Tables Elimination Tag Team,WWF Royal Rumble 2000 ,***1/4
96,Cactus Jack vs. Triple H,01/23/2000,World Wrestling Federation,Street Fight,WWF Royal Rumble 2000 ,****1/2
97,Albert vs. Al Snow vs. Bob Backlund vs. Bradshaw vs. Chris Jericho vs. Christian vs. Chyna vs. Crash Holly vs. D-Lo Brown vs. Edge vs. Faarooq vs. Gangrel vs. Grandmaster Sexay vs. Hardcore Holly vs. Kane vs. Mosh vs. Mr. Ass vs. Rikishi vs. Scotty 2 Hotty vs. Steve Blackman vs. Test vs. The Big Bossman vs. The Big Show vs. The British Bulldog vs. The Godfather vs. The Road Dogg vs. The Rock vs. Val Venis vs. Viscera vs. X-Pac,01/23/2000,World Wrestling Federation,Royal Rumble,WWF Royal Rumble 2000 ,**3/4
98,Chris Jericho vs. Chyna vs. Hardcore Holly,01/23/2000,World Wrestling Federation,Triple Threat,WWF Royal Rumble 2000 ,
99,Jeff Hardy & Matt Hardy vs. Mr. Ass & The Road Dogg,01/24/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #348 ,
100,Rikishi Phatu vs. The Rock,01/25/2000,World Wrestling Federation,Singles,WWF SmackDown #24 ,
101,Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge,01/25/2000,World Wrestling Federation,Tag Team,WWF SmackDown #24 ,
102,Chris Jericho vs. X-Pac,01/31/2000,World Wrestling Federation,Singles,WWF RAW is WAR #349 ,
103,Kurt Angle vs. The Rock,01/31/2000,World Wrestling Federation,Singles,WWF RAW is WAR #349 ,
104,Al Snow & Steve Blackman vs. Mr. Ass & The Road Dogg,01/31/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #349 ,
105,Kurt Angle vs. Tazz vs. The Rock,02/01/2000,World Wrestling Federation,Triple Threat,WWF SmackDown #25 ,
106,Chris Benoit vs. Triple H,02/01/2000,World Wrestling Federation,Singles,WWF SmackDown #25 ,
107,Jeff Hardy & Matt Hardy vs. Mosh & Thrasher,02/01/2000,World Wrestling Federation,Tag Team,WWF Sunday Night Heat #80 ,
108,"Cactus Jack, Grandmaster Sexay, Rikishi Phatu, Scotty 2 Hotty & The Rock vs. Chris Benoit, Dean Malenko, Perry Saturn, Triple H & X-Pac",02/07/2000,World Wrestling Federation,Ten Man Tag Team,WWF RAW is WAR #350 ,****1/4
109,Christian & Edge vs. Mr. Ass & The Road Dogg,02/07/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #350 ,
110,Kane vs. Triple H & X-Pac,02/08/2000,World Wrestling Federation,Two On One Handicap,WWF SmackDown #26 ,
111,Al Snow & Steve Blackman vs. Jeff Hardy & Matt Hardy,02/08/2000,World Wrestling Federation,Tag Team,WWF SmackDown #26 ,
112,Cactus Jack & The Rock vs. Mr. Ass & The Road Dogg,02/08/2000,World Wrestling Federation,Tag Team,WWF SmackDown #26 ,
113,Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge,02/08/2000,World Wrestling Federation,Tag Team,WWF SmackDown #26 ,
114,Grandmaster Sexay vs. Perry Saturn,02/08/2000,World Wrestling Federation,Singles,WWF SmackDown #26 ,
115,Kane vs. The Big Show & Triple H,02/14/2000,World Wrestling Federation,No Disqualification Two On One Handicap,WWF RAW is WAR #351 ,
116,Chris Benoit vs. The Rock,02/14/2000,World Wrestling Federation,Singles,WWF RAW is WAR #351 ,
117,Mr. Ass & The Road Dogg vs. The Big Show & The Rock,02/15/2000,World Wrestling Federation,Tag Team,WWF SmackDown #27 ,
118,Cactus Jack vs. X-Pac,02/15/2000,World Wrestling Federation,Falls Count Anywhere Hardcore,WWF SmackDown #27 ,
119,"Cactus Jack, Kane & The Rock vs. The Big Show, Triple H & X-Pac",02/21/2000,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #352 ,
120,"Buh Buh Ray Dudley, D-Von Dudley, Mr. Ass & The Road Dogg vs. Christian, Edge, Jeff Hardy & Matt Hardy",02/21/2000,World Wrestling Federation,Eight Man Tag Team,WWF RAW is WAR #352 ,
121,"Grandmaster Sexay, Rikishi Phatu & Scotty 2 Hotty vs. The Road Dogg, Triple H & X-Pac",02/22/2000,World Wrestling Federation,Six Man Tag Team,WWF SmackDown #28 ,
122,Cactus Jack vs. Triple H,02/27/2000,World Wrestling Federation,Hell In A Cell,WWF No Way Out 2000 ,****1/2
123,The Big Show vs. The Rock,02/27/2000,World Wrestling Federation,Singles,WWF No Way Out 2000 ,
124,Kane vs. X-Pac,02/27/2000,World Wrestling Federation,No Holds Barred,WWF No Way Out 2000 ,
125,Billy Gunn & The Road Dogg vs. Buh Buh Ray Dudley & D-Von Dudley,02/27/2000,World Wrestling Federation,Tag Team,WWF No Way Out 2000 ,
126,Chris Jericho vs. Kurt Angle,02/27/2000,World Wrestling Federation,Singles,WWF No Way Out 2000 ,
127,"Chris Benoit, Dean Malenko & Perry Saturn vs. Grandmaster Sexay, Rikishi Phatu & Scotty 2 Hotty",02/27/2000,World Wrestling Federation,Six Man Tag Team,WWF No Way Out 2000 ,
128,Christian & Edge vs. Jeff Hardy & Matt Hardy,02/27/2000,World Wrestling Federation,Tag Team,WWF No Way Out 2000 ,
129,The Big Show & Triple H vs. The Rock,02/28/2000,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #353 ,
130,Buh Buh Ray Dudley & D-Von Dudley vs. The Road Dogg & X-Pac,02/28/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #353 ,
131,Rikishi Phatu & The Rock vs. The Big Show & Triple H,02/29/2000,World Wrestling Federation,Tag Team,WWF SmackDown #29 ,
132,"Chris Benoit, Dean Malenko & Perry Saturn vs. Chris Jericho, Grandmaster Sexay & Scotty 2 Hotty",02/29/2000,World Wrestling Federation,Six Man Tag Team,WWF SmackDown #29 ,
133,Christian & Edge vs. Dean Malenko & Perry Saturn,03/06/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #354 ,
134,Rikishi Phatu vs. Triple H,03/06/2000,World Wrestling Federation,Singles,WWF RAW is WAR #354 ,
135,Chris Benoit vs. The Rock,03/06/2000,World Wrestling Federation,Steel Cage,WWF RAW is WAR #354 ,
136,Rikishi Phatu vs. The Big Show & Triple H,03/07/2000,World Wrestling Federation,Two On One Handicap,WWF SmackDown #30 ,
137,Kane vs. The Road Dogg & X-Pac,03/07/2000,World Wrestling Federation,Two On One Handicap,WWF SmackDown #30 ,
138,Buh Buh Ray Dudley & D-Von Dudley vs. The Rock,03/07/2000,World Wrestling Federation,Two On One Handicap Tables,WWF SmackDown #30 ,
139,The Big Show vs. The Rock,03/13/2000,World Wrestling Federation,Rock's Career On The Line,WWF RAW is WAR #355 ,
140,"Grandmaster Sexay, Rikishi Phatu & Scotty 2 Hotty vs. The Road Dogg, Triple H & X-Pac",03/13/2000,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #355 ,
141,The Big Show vs. The Rock vs. Triple H,03/20/2000,World Wrestling Federation,Triple Threat,WWF RAW is WAR #356 ,
142,Chris Benoit vs. Chris Jericho,03/20/2000,World Wrestling Federation,Singles,WWF RAW is WAR #356 ,
143,Dean Malenko & Perry Saturn vs. Grandmaster Sexay & Scotty 2 Hotty,03/20/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #356 ,
144,Buh Buh Ray Dudley vs. The Rock,03/21/2000,World Wrestling Federation,Singles,WWF SmackDown #32 ,
145,Shane McMahon & The Big Show vs. The Rock & Vince McMahon,03/27/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #357 ,
146,Dean Malenko & Perry Saturn vs. Jeff Hardy & Matt Hardy,03/27/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #357 ,
147,Kurt Angle vs. The Rock,03/28/2000,World Wrestling Federation,Singles,WWF SmackDown #33 ,
148,Chris Benoit vs. Chris Jericho vs. Kurt Angle,04/02/2000,World Wrestling Federation,Triple Threat,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",**3/4
149,"Chyna, Grandmaster Sexay & Scotty 2 Hotty vs. Dean Malenko, Eddie Guerrero & Perry Saturn",04/02/2000,World Wrestling Federation,Six Man Tag Team,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",**1/2
150,Albert & Test vs. Al Snow & Steve Blackman,04/02/2000,World Wrestling Federation,Tag Team,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",-*1/4
151,Bull Buchanan & The Big Bossman vs. D-Lo Brown & The Godfather,04/02/2000,World Wrestling Federation,Tag Team,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",1/4*
152,Bradshaw vs. Crash Holly vs. Faarooq vs. Funaki vs. Hardcore Holly vs. Joey Abs vs. Mosh vs. Pete Gas vs. Rodney vs. Taka Michinoku vs. Tazz vs. Thrasher vs. Viscera,04/02/2000,World Wrestling Federation,Battle Royal,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",1/2*
153,Mick Foley vs. The Big Show vs. The Rock vs. Triple H,04/02/2000,World Wrestling Federation,Fatal Four Way Elimination,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",***
154,Buh Buh Ray Dudley & D-Von Dudley vs. Christian & Edge vs. Jeff Hardy & Matt Hardy,04/02/2000,World Wrestling Federation,Triangle Ladder,"WWF WrestleMania 2000 - ""A McMahon In Every Corner"" ",****
155,Chris Jericho vs. Eddie Guerrero,04/03/2000,World Wrestling Federation,Singles,WWF RAW is WAR #358 ,
156,Shane McMahon vs. The Rock,04/03/2000,World Wrestling Federation,Singles,WWF RAW is WAR #358 ,
157,The Road Dogg & X-Pac vs. The Rock,04/04/2000,World Wrestling Federation,Three On One Handicap,WWF SmackDown #34 ,
158,Christian & Edge vs. Hardcore Holly & Kurt Angle,04/04/2000,World Wrestling Federation,Tag Team,WWF SmackDown #34 ,
159,Albert & Test vs. Buh Buh Ray Dudley & D-Von Dudley,04/04/2000,World Wrestling Federation,Tag Team,WWF SmackDown #34 ,
160,Dean Malenko vs. Taka Michinoku,04/04/2000,World Wrestling Federation,Singles,WWF SmackDown #34 ,
161,Taka Michinoku vs. Triple H,04/10/2000,World Wrestling Federation,Singles,WWF RAW is WAR #359 ,
162,Bull Buchanan & The Big Bossman vs. The Rock,04/10/2000,World Wrestling Federation,Two On One Handicap Cage,WWF RAW is WAR #359 ,
163,Chris Jericho vs. Eddie Guerrero,04/10/2000,World Wrestling Federation,Singles,WWF RAW is WAR #359 ,
164,"Bradshaw, Faarooq & The Rock vs. Bull Buchanan, The Big Bossman & Triple H",04/11/2000,World Wrestling Federation,Six Man Tag Team,WWF SmackDown #35 ,
165,Chris Benoit & Dean Malenko vs. Jeff Hardy & Matt Hardy,04/11/2000,World Wrestling Federation,Tag Team,WWF SmackDown #35 ,
166,Eddie Guerrero vs. Rikishi Phatu,04/11/2000,World Wrestling Federation,Singles,WWF SmackDown #35 ,
167,Chris Benoit vs. Hardcore Holly,04/11/2000,World Wrestling Federation,Singles,WWF Sunday Night Heat #90 ,
168,Chris Jericho vs. Triple H,04/17/2000,World Wrestling Federation,Singles,WWF RAW is WAR #360 ,
169,"Bradshaw, Chris Jericho & Faarooq vs. The Road Dogg, Triple H & X-Pac",04/17/2000,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #360 ,
170,Tazz vs. Triple H,04/18/2000,World Wrestling Federation,Singles,WWF SmackDown #36 ,
171,Chris Jericho vs. The Rock,04/18/2000,World Wrestling Federation,Lumberjack,WWF SmackDown #36 ,
172,Chris Benoit & Triple H vs. Chris Jericho & The Rock,04/24/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #361 ,****
173,Chris Benoit vs. Chris Jericho,04/30/2000,World Wrestling Federation,Singles,WWF Backlash 2000 ,***3/4
174,Dean Malenko vs. Scotty 2 Hotty,04/30/2000,World Wrestling Federation,Singles,WWF Backlash 2000 ,****
175,The Rock vs. Triple H,04/30/2000,World Wrestling Federation,Singles,WWF Backlash 2000 ,***3/4
176,Eddie Guerrero vs. Essa Rios,04/30/2000,World Wrestling Federation,Singles,WWF Backlash 2000 ,
177,Albert & Test vs. Buh Buh Ray Dudley & D-Von Dudley,04/30/2000,World Wrestling Federation,Tag Team,WWF Backlash 2000 ,
178,Crash Holly vs. Hardcore Holly vs. Jeff Hardy vs. Matt Hardy vs. Perry Saturn vs. Tazz,04/30/2000,World Wrestling Federation,Six Pack Challenge,WWF Backlash 2000 ,
179,Bradshaw & Faarooq vs. Bull Buchanan & The Big Bossman,04/30/2000,World Wrestling Federation,Tag Team,WWF Backlash 2000 ,
180,Christian & Edge vs. The Road Dogg & X-Pac,04/30/2000,World Wrestling Federation,Tag Team,WWF Backlash 2000 ,
181,Shane McMahon vs. The Rock,05/01/2000,World Wrestling Federation,Steel Cage,WWF RAW is WAR #362 ,
182,"Earl Hebner & The Rock vs. The Road Dogg, Triple H & X-Pac",05/02/2000,World Wrestling Federation,Three On Two Handicap,WWF SmackDown #38 ,
183,Albert & Test vs. Jeff Hardy & Matt Hardy,05/02/2000,World Wrestling Federation,Tag Team,WWF SmackDown #38 ,
184,Chris Benoit vs. Chris Jericho,05/02/2000,World Wrestling Federation,Singles,WWF SmackDown #38 ,
185,Shane McMahon vs. The Rock vs. Triple H,05/06/2000,World Wrestling Federation,Triple Threat,WWF Insurrextion 2000 ,
186,Chris Jericho vs. Eddie Guerrero,05/06/2000,World Wrestling Federation,Singles,WWF Insurrextion 2000 ,
187,Christian & Edge vs. Jeff Hardy & Matt Hardy,05/06/2000,World Wrestling Federation,Tag Team,WWF Insurrextion 2000 ,
188,Chris Benoit vs. Kurt Angle,05/06/2000,World Wrestling Federation,Singles,WWF Insurrextion 2000 ,
189,Buh Buh Ray Dudley & D-Von Dudley vs. Rikishi & The Big Show,05/06/2000,World Wrestling Federation,Tag Team,WWF Insurrextion 2000 ,
190,Bradshaw vs. The Road Dogg,05/06/2000,World Wrestling Federation,Singles,WWF Insurrextion 2000 ,
191,Dean Malenko & Perry Saturn vs. Grandmaster Sexay & Scotty 2 Hotty,05/06/2000,World Wrestling Federation,Tag Team,WWF Insurrextion 2000 ,
192,Chris Benoit vs. Chris Jericho,05/08/2000,World Wrestling Federation,Singles,WWF RAW is WAR #363 ,
193,Chris Jericho vs. Kurt Angle,05/08/2000,World Wrestling Federation,Singles,WWF RAW is WAR #363 ,
194,"Grandmaster Sexay, Rikishi Phatu & Scotty 2 Hotty vs. The Road Dogg, Triple H & X-Pac",05/09/2000,World Wrestling Federation,Elimination Six Man Tag Team,WWF SmackDown #39 ,
195,Albert & Test vs. Buh Buh Ray Dudley & D-Von Dudley,05/09/2000,World Wrestling Federation,Tag Team,WWF SmackDown #39 ,
196,Chris Benoit vs. The Rock,05/15/2000,World Wrestling Federation,Submission,WWF RAW is WAR #364 ,
197,Chyna & Eddie Guerrero vs. Dean Malenko & Perry Saturn,05/15/2000,World Wrestling Federation,Tag Team,WWF RAW is WAR #364 ,
