Index,Fixture,Date,Promotion,Match type,Event
0,Callum Newman vs. SANADA,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
1,HENARE vs. Oleg Boltin,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
2,Gabe Kidd vs. Great-O-Khan,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
3,EVIL vs. Jake Lee,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
4,Hirooki Goto vs. Yuya Uemura,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
5,Shingo Takagi vs. Shota Umino,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
6,Tetsuya Naito vs. Zack Sabre Jr.,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
7,El Phantasmo vs. Ren Narita,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
8,David Finlay vs. Yota Tsuji,07/21/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 2
9,Oleg Boltin vs. Ren Narita,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
10,Konosuke Takeshita vs. Yota Tsuji,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
11,Callum Newman vs. Shota Umino,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
12,EVIL vs. Gabe Kidd,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
13,El Phantasmo vs. HENARE,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
14,Great-O-Khan vs. Zack Sabre Jr.,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
15,Shingo Takagi vs. Tetsuya Naito,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
16,Hirooki Goto vs. Jeff Cobb,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
17,David Finlay vs. Yuya Uemura,07/20/2024,New Japan Pro Wrestling,Singles,NJPW G1 Climax 34 - Tag 1
18,Gabe Kidd vs. Ultimo Guerrero,07/13/2024,New Japan Pro Wrestling,Singles,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
19,Lluvia vs. Viva Van vs. Willow Nightingale,07/13/2024,New Japan Pro Wrestling,Three Way,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
20,Bad Dude Tito & Zack Sabre Jr. vs. Hechicero & Virus,07/13/2024,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
21,El Barbaro Cavernario vs. Yota Tsuji,07/13/2024,New Japan Pro Wrestling,Singles,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
22,Magnus & Rugido vs. Okumura & Satoshi Kojima,07/13/2024,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
23,DOUKI & Mistico vs. Rocky Romero & Volador Jr.,07/13/2024,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2024 - Lucha Libre USA
24,Gedo & KENTA vs. Kosei Fujita & Zack Sabre Jr.,07/05/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 7
25,"Francesco Akira, Great-O-Khan & TJP vs. SANADA, TAKA Michinoku & Yuya Uemura",07/05/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 7
26,"EVIL, Ren Narita, SHO, Yoshinobu Kanemaru & Yujiro Takahashi vs. Hiroshi Tanahashi, Ryusuke Taguchi, Tiger Mask, Tomoaki Honma & Yuji Nagata",07/05/2024,New Japan Pro Wrestling,Ten Man Tag Team,NJPW New Japan Soul 2024 - Tag 7
27,"BUSHI, Shingo Takagi & Tetsuya Naito vs. Hiromu Takahashi, Titan & Yota Tsuji",07/05/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 7
28,Callum Newman vs. YOSHI-HASHI,07/05/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 7
29,Oleg Boltin vs. Taichi,07/05/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 7
30,DOUKI vs. El Desperado,07/05/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 7
31,"DOUKI, SANADA, TAKA Michinoku & Yuya Uemura vs. El Desperado, Togi Makabe, Tomoaki Honma & Yuji Nagata",07/03/2024,New Japan Pro Wrestling,Eight Man Tag Team,NJPW New Japan Soul 2024 - Tag 6
32,"Hiromu Takahashi, Titan & Yota Tsuji vs. Ren Narita, SHO & Yoshinobu Kanemaru",07/03/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 6
33,Hiroshi Tanahashi vs. Oleg Boltin,07/03/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 6
34,Callum Newman vs. KENTA,07/03/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 6
35,Taichi vs. TJP,07/03/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 6
36,Tomohiro Ishii vs. YOSHI-HASHI,07/03/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 6
37,DOUKI & Yuya Uemura vs. El Desperado & Shoma Kato,06/23/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 5
38,Oleg Boltin vs. Toru Yano,06/23/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 5
39,Chase Owens & Gedo vs. Hirooki Goto & YOSHI-HASHI,06/23/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 5
40,Callum Newman & HENARE vs. Yoshinobu Kanemaru & Yujiro Takahashi,06/23/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 5
41,Satoshi Kojima vs. TJP,06/23/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 5
42,"Francesco Akira, Great-O-Khan & Jeff Cobb vs. SANADA, Taichi & TAKA Michinoku",06/23/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 5
43,Hiroshi Tanahashi & Katsuya Murashima vs. Tomoaki Honma & Tomohiro Ishii,06/23/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 5
44,"BUSHI, Tetsuya Naito, Titan & Yota Tsuji vs. Dick Togo, EVIL, Ren Narita & SHO",06/23/2024,New Japan Pro Wrestling,Eight Man Tag Team,NJPW New Japan Soul 2024 - Tag 5
45,"HENARE, Jeff Cobb & TJP vs. Satoshi Kojima, Tomoaki Honma & Tomohiro Ishii",06/22/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 4
46,"DOUKI, SANADA, Taichi, TAKA Michinoku & Yuya Uemura vs. El Desperado, Hirooki Goto, Hiroshi Tanahashi, Oleg Boltin & Toru Yano",06/22/2024,New Japan Pro Wrestling,Ten Man Tag Team,NJPW New Japan Soul 2024 - Tag 4
47,"BUSHI, Tetsuya Naito, Titan & Yota Tsuji vs. EVIL, Ren Narita, SHO & Yoshinobu Kanemaru",06/22/2024,New Japan Pro Wrestling,Eight Man Tag Team,NJPW New Japan Soul 2024 - Tag 4
48,Callum Newman vs. Yujiro Takahashi,06/22/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 4
49,Chase Owens vs. YOSHI-HASHI,06/22/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 4
50,Francesco Akira & Great-O-Khan vs. Katsuya Murashima & Shoma Kato,06/22/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 4
51,"Callum Newman, Francesco Akira, Great-O-Khan, Jeff Cobb & TJP vs. Katsuya Murashima, Satoshi Kojima, Shoma Kato, Tomoaki Honma & Tomohiro Ishii",06/16/2024,New Japan Pro Wrestling,Ten Man Tag Team,NJPW New Japan Soul 2024 - Tag 1
52,DOUKI & Taichi vs. Ren Narita & Yoshinobu Kanemaru,06/16/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 1
53,Dick Togo & EVIL vs. Hirooki Goto & YOSHI-HASHI,06/16/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 1
54,TAKA Michinoku & Yuya Uemura vs. Tetsuya Naito & Titan,06/16/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 1
55,"BUSHI, Hiromu Takahashi & Yota Tsuji vs. Hiroshi Tanahashi, Oleg Boltin & Toru Yano",06/16/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW New Japan Soul 2024 - Tag 1
56,David Finlay vs. SANADA,06/16/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 1
57,El Desperado vs. SHO,06/16/2024,New Japan Pro Wrestling,Steel Cage,NJPW New Japan Soul 2024 - Tag 1
58,HENARE vs. Shingo Takagi,06/16/2024,New Japan Pro Wrestling,Singles,NJPW New Japan Soul 2024 - Tag 1
59,Clark Connors & Drilla Moloney vs. Kosei Fujita & Robbie Eagles,06/16/2024,New Japan Pro Wrestling,Tag Team,NJPW New Japan Soul 2024 - Tag 1
60,"DASH Chisako, Isami Kodaka & Yuko Miyamoto vs. Hiroshi Tanahashi, Kyoko Inoue & Toru Yano",06/10/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Despe Invitacional
61,Dragon Kid & Starlight Kid vs. El Desperado & Mima Shimoda,06/10/2024,New Japan Pro Wrestling,Tag Team,NJPW Despe Invitacional
62,Hikaru Sato vs. Zack Sabre Jr.,06/10/2024,New Japan Pro Wrestling,Singles,NJPW Despe Invitacional
63,Daisuke Sasaki vs. DOUKI vs. Eita vs. Violento Jack,06/10/2024,New Japan Pro Wrestling,Four Way,NJPW Despe Invitacional
64,Hiromu Takahashi & Jun Kasai vs. Minoru Suzuki & Takayuki Ueki,06/10/2024,New Japan Pro Wrestling,Hardcore Tag Team,NJPW Despe Invitacional
65,Chris Brookes vs. El Phantasmo vs. MAO vs. Masashi Takeda,06/10/2024,New Japan Pro Wrestling,Four Way Hardcore,NJPW Despe Invitacional
66,Danshoku Dino & El Desperado vs. Dick Togo & Gedo,06/10/2024,New Japan Pro Wrestling,Tag Team,NJPW Despe Invitacional
67,"DASH Chisako, Isami Kodaka & Yuko Miyamoto vs. Hiroshi Tanahashi, Kyoko Inoue & Toru Yano",06/10/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Despe Invitacional - The Buy In
68,Jeff Cobb vs. Tomohiro Ishii,06/09/2024,New Japan Pro Wrestling,Singles,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
69,Callum Newman vs. Tetsuya Naito,06/09/2024,New Japan Pro Wrestling,Singles,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
70,Great-O-Khan vs. Yuya Uemura,06/09/2024,New Japan Pro Wrestling,Storm Catch Rules,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
71,HENARE vs. Shingo Takagi,06/09/2024,New Japan Pro Wrestling,Singles,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
72,"Clark Connors, Drilla Moloney & LJ Cleary vs. Kosei Fujita, Robbie Eagles & Zack Sabre Jr.",06/09/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
73,"BUSHI, Hiromu Takahashi & Yota Tsuji vs. Hiroshi Tanahashi, Oleg Boltin & Toru Yano",06/09/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
74,Chase Owens & KENTA vs. El Phantasmo & Hikuleo vs. Hirooki Goto & YOSHI-HASHI vs. Mikey Nicholls & Shane Haste,06/09/2024,New Japan Pro Wrestling,Four Way Tornado Tag Team Elimination,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
75,EVIL vs. Jon Moxley,06/09/2024,New Japan Pro Wrestling,Lumberjack,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
76,El Desperado vs. Taiji Ishimori,06/09/2024,New Japan Pro Wrestling,Singles,NJPW Dominion 6.9 In Osaka-Jo Hall ~ Best Of The Super Junior 31 Final ~
77,"Blake Christian, HAYATA & Ninja Mack vs. Kevin Knight, KUSHIDA & Shoma Kato",06/03/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 13
78,Great-O-Khan & Jeff Cobb vs. TAKA Michinoku & Yuya Uemura,06/03/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 13
79,"BUSHI, Hiromu Takahashi, Titan & Yota Tsuji vs. Dragon Dia, Hiroshi Tanahashi, Oleg Boltin & Toru Yano",06/03/2024,New Japan Pro Wrestling,Eight Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 13
80,Callum Newman & HENARE vs. Shingo Takagi & Tetsuya Naito,06/03/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 13
81,"Dick Togo, Ren Narita, SHO, Yoshinobu Kanemaru & Yujiro Takahashi vs. Hiroyoshi Tenzan, Shota Umino, Tiger Mask, Togi Makabe & Yuji Nagata",06/03/2024,New Japan Pro Wrestling,Ten Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 13
82,Taiji Ishimori vs. TJP,06/03/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 13
83,DOUKI vs. El Desperado,06/03/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 13
84,Dragon Dia vs. KUSHIDA,05/31/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 12
85,Drilla Moloney vs. Ninja Mack,05/31/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 12
86,"Blake Christian, HAYATA & Oleg Boltin vs. El Desperado, Kevin Knight & Tomoaki Honma",05/31/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 12
87,Clark Connors & Gedo vs. Kosei Fujita & Zack Sabre Jr.,05/31/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 12
88,"BUSHI, Shingo Takagi & Titan vs. Callum Newman, HENARE & TJP",05/31/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 12
89,DOUKI vs. Robbie Eagles,05/31/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 12
90,Hiromu Takahashi vs. Taiji Ishimori,05/31/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 12
91,Titan vs. TJP,05/30/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 11
92,BUSHI vs. Kevin Knight,05/30/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 11
93,Blake Christian vs. Kosei Fujita,05/30/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 11
94,El Desperado vs. HAYATA,05/30/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 11
95,Dragon Dia & Ninja Mack vs. KUSHIDA & Shoma Kato,05/30/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 11
96,DOUKI & TAKA Michinoku vs. Robbie Eagles & Zack Sabre Jr.,05/30/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 11
97,"Drilla Moloney, Gedo & Taiji Ishimori vs. Hiromu Takahashi, Shingo Takagi & Tetsuya Naito",05/30/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 11
98,Callum Newman & HENARE vs. SHO & Yujiro Takahashi,05/30/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 11
99,DOUKI vs. KUSHIDA,05/28/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 10
100,Drilla Moloney vs. Hiromu Takahashi,05/28/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 10
101,Dragon Dia vs. Ninja Mack,05/28/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 10
102,SHO vs. Taiji Ishimori,05/28/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 10
103,Katsuya Murashima & Shoma Kato vs. Kosei Fujita & Robbie Eagles,05/28/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 10
104,Clark Connors & Gedo vs. Yoshinobu Kanemaru & Yujiro Takahashi,05/28/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 10
105,Blake Christian & HAYATA vs. El Desperado & Tiger Mask,05/28/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 10
106,Callum Newman & TJP vs. Titan & Yota Tsuji,05/28/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 10
107,BUSHI & Tetsuya Naito vs. Kevin Knight & Tomoaki Honma,05/28/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 10
108,KUSHIDA vs. Ninja Mack,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
109,HAYATA vs. Kosei Fujita,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
110,Dragon Dia vs. SHO,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
111,Blake Christian vs. BUSHI,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
112,Drilla Moloney vs. Taiji Ishimori,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
113,Titan vs. Yoshinobu Kanemaru,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
114,Clark Connors vs. Kevin Knight,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
115,Hiromu Takahashi vs. Robbie Eagles,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
116,El Desperado vs. TJP,05/26/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 9
117,Kosei Fujita vs. Titan,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
118,Dragon Dia vs. Robbie Eagles,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
119,DOUKI vs. SHO,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
120,BUSHI vs. Yoshinobu Kanemaru,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
121,Drilla Moloney vs. KUSHIDA,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
122,HAYATA vs. Kevin Knight,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
123,Ninja Mack vs. Taiji Ishimori,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
124,Clark Connors vs. El Desperado,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
125,Blake Christian vs. TJP,05/22/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 8
126,Hiromu Takahashi & Yota Tsuji vs. Katsuya Murashima & Shoma Kato,05/21/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 7
127,DOUKI & TAKA Michinoku vs. SHO & Yujiro Takahashi,05/21/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 7
128,"Dragon Dia, KUSHIDA & Ninja Mack vs. Drilla Moloney, Gedo & Taiji Ishimori",05/21/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 7
129,Kosei Fujita vs. TJP,05/21/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 7
130,BUSHI vs. Clark Connors,05/21/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 7
131,Blake Christian vs. HAYATA,05/21/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 7
132,Kevin Knight vs. Titan,05/21/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 7
133,El Desperado vs. Yoshinobu Kanemaru,05/21/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 7
134,DOUKI vs. Dragon Dia,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
135,Kevin Knight vs. Yoshinobu Kanemaru,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
136,Clark Connors vs. Titan,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
137,BUSHI vs. Kosei Fujita,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
138,Hiromu Takahashi vs. Ninja Mack,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
139,HAYATA vs. TJP,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
140,Robbie Eagles vs. SHO,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
141,Blake Christian vs. El Desperado,05/19/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 6
142,Clark Connors vs. Kosei Fujita,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
143,HAYATA vs. Yoshinobu Kanemaru,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
144,DOUKI vs. Ninja Mack,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
145,KUSHIDA vs. Robbie Eagles,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
146,Blake Christian vs. Titan,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
147,Francesco Akira vs. Taiji Ishimori,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
148,El Desperado vs. Kevin Knight,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
149,Hiromu Takahashi vs. SHO,05/18/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 5
150,Francesco Akira vs. KUSHIDA,05/16/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 4
151,DOUKI vs. Drilla Moloney,05/16/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 4
152,Ninja Mack vs. SHO,05/16/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 4
153,Dragon Dia vs. Hiromu Takahashi,05/16/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 4
154,Robbie Eagles vs. Taiji Ishimori,05/16/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 4
155,"El Desperado, Katsuya Murashima & Oleg Boltin vs. Kevin Knight, Shoma Kato & Tiger Mask",05/16/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 4
156,HAYATA & Tomoaki Honma vs. Yoshinobu Kanemaru & Yujiro Takahashi,05/16/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 4
157,"Blake Christian, Callum Newman & TJP vs. BUSHI, Tetsuya Naito & Titan",05/16/2024,New Japan Pro Wrestling,Six Man Tag Team,NJPW Best Of The Super Junior 31 - Tag 4
158,Katsuya Murashima & Ninja Mack vs. SHO & Yujiro Takahashi,05/15/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 3
159,DOUKI & TAKA Michinoku vs. Drilla Moloney & Gedo,05/15/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 3
160,Callum Newman & Francesco Akira vs. KUSHIDA & Tiger Mask,05/15/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 3
161,Dragon Dia & Tomoaki Honma vs. Hiromu Takahashi & Tetsuya Naito,05/15/2024,New Japan Pro Wrestling,Tag Team,NJPW Best Of The Super Junior 31 - Tag 3
162,Kevin Knight vs. Kosei Fujita,05/15/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 3
163,Blake Christian vs. Yoshinobu Kanemaru,05/15/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 3
164,HAYATA vs. Titan,05/15/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 3
165,Clark Connors vs. TJP,05/15/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 3
166,BUSHI vs. El Desperado,05/15/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 3
167,Francesco Akira vs. Ninja Mack,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
168,Drilla Moloney vs. Robbie Eagles,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
169,El Desperado vs. Kosei Fujita,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
170,Blake Christian vs. Kevin Knight,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
171,Clark Connors vs. HAYATA,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
172,BUSHI vs. Titan,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
173,KUSHIDA vs. SHO,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
174,DOUKI vs. Hiromu Takahashi,05/13/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 2
175,Kosei Fujita vs. Yoshinobu Kanemaru,05/11/2024,New Japan Pro Wrestling,Singles,NJPW Best Of The Super Junior 31 - Tag 1
