Index,Fixture,Date,Promotion,Match type,Event
6304,Gedo & Jado vs. Jushin Thunder Liger & Tiger Mask,03/11/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 2
6305,Captain New Japan & Tama Tonga vs. Takashi Iizuka & Toru Yano,03/11/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 2
6306,"Davey Richards, Rocky Romero & Tomohiro Ishii vs. KUSHIDA, Prince Devitt & Ryusuke Taguchi",03/11/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 2
6307,"Hiroyoshi Tenzan, Riki Choshu, Satoshi Kojima, Togi Makabe & Yuji Nagata vs. Lance Archer, Minoru Suzuki, Taichi, TAKA Michinoku & Yoshihiro Takayama",03/11/2012,New Japan Pro Wrestling,Ten Man Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 2
6308,Hirooki Goto vs. Yujiro Takahashi,03/11/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 2
6309,Davey Richards vs. Prince Devitt,03/10/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6310,Takaaki Watanabe vs. Tomohiro Ishii,03/10/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6311,Hiromu Takahashi vs. KUSHIDA,03/10/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6312,"Gedo, Jado & Rocky Romero vs. Jushin Thunder Liger, Ryusuke Taguchi & Tiger Mask",03/10/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6313,"Captain New Japan, Karl Anderson & Tama Tonga vs. Takashi Iizuka, Toru Yano & YOSHI-HASHI",03/10/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6314,"Hiroyoshi Tenzan, Satoshi Kojima, Togi Makabe, Wataru Inoue & Yuji Nagata vs. Lance Archer, Minoru Suzuki, Taichi, TAKA Michinoku & Yoshihiro Takayama",03/10/2012,New Japan Pro Wrestling,Ten Man Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6315,"Hirooki Goto, Hiroshi Tanahashi, Tetsuya Naito & Tomoaki Honma vs. Kazuchika Okada, Masato Tanaka, Shinsuke Nakamura & Yujiro Takahashi",03/10/2012,New Japan Pro Wrestling,Eight Man Tag Team,NJPW 40th Anniversary Tour ~ New Japan Glory 2012 - Tag 1
6316,"Hirooki Goto, Hiroshi Tanahashi & Karl Anderson vs. Masato Tanaka, Shinsuke Nakamura & Yujiro Takahashi",03/04/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW 40th Anniversary Show
6317,"Hiromu Takahashi, Takaaki Watanabe & Tama Tonga vs. KUSHIDA, Prince Devitt & Ryusuke Taguchi",03/04/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW 40th Anniversary Show
6318,Captain New Japan & Tomoaki Honma vs. Tomohiro Ishii & YOSHI-HASHI,03/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Show
6319,Gedo & Jado vs. Jushin Thunder Liger & Tiger Mask,03/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Show
6320,"Minoru Suzuki, Taichi & TAKA Michinoku vs. Togi Makabe, Wataru Inoue & Yuji Nagata",03/04/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW 40th Anniversary Show
6321,Hiroyoshi Tenzan & Satoshi Kojima vs. Takashi Iizuka & Toru Yano,03/04/2012,New Japan Pro Wrestling,Tag Team,NJPW 40th Anniversary Show
6322,Kazuchika Okada vs. Tetsuya Naito,03/04/2012,New Japan Pro Wrestling,Singles,NJPW 40th Anniversary Show
6323,Jun Akiyama & Takao Omori vs. Keiji Muto & Kenta Kobashi,02/19/2012,New Japan Pro Wrestling,Tag Team,NJPW/AJPW/NOAH All Together 2012
6324,"KUSHIDA, Tiger Mask, Togi Makabe, Wataru Inoue & Yuji Nagata vs. Lance Archer, Minoru Suzuki, Taichi, TAKA Michinoku & Yoshihiro Takayama",02/12/2012,New Japan Pro Wrestling,Ten Man Tag Team Elimination,NJPW The New Beginning 2012
6325,Giant Bernard & Karl Anderson vs. Hiroyoshi Tenzan & Satoshi Kojima,02/12/2012,New Japan Pro Wrestling,Tag Team,NJPW The New Beginning 2012
6326,Davey Richards & Rocky Romero vs. Prince Devitt & Ryusuke Taguchi,02/12/2012,New Japan Pro Wrestling,Tag Team,NJPW The New Beginning 2012
6327,Hirooki Goto vs. Masato Tanaka,02/12/2012,New Japan Pro Wrestling,Singles,NJPW The New Beginning 2012
6328,Shinsuke Nakamura vs. Tetsuya Naito,02/12/2012,New Japan Pro Wrestling,Singles,NJPW The New Beginning 2012
6329,Hiroshi Tanahashi vs. Kazuchika Okada,02/12/2012,New Japan Pro Wrestling,Singles,NJPW The New Beginning 2012
6330,"Hirooki Goto, Hiroshi Tanahashi, Tetsuya Naito & Tomoaki Honma vs. Kazuchika Okada, Masato Tanaka, Shinsuke Nakamura & Yujiro Takahashi",02/05/2012,New Japan Pro Wrestling,Eight Man Tag Team,NJPW NJPW 40th Anniversary Tour New Japan Ism 2012 - Tag 7
6331,Toru Yano vs. Yuji Nagata,01/29/2012,New Japan Pro Wrestling,Singles,NJPW NJPW 40th Anniversary Tour New Japan Ism 2012 - Tag 3
6332,Hiroshi Tanahashi & Tetsuya Naito vs. Kazuchika Okada & Shinsuke Nakamura,01/29/2012,New Japan Pro Wrestling,Tag Team,NJPW NJPW 40th Anniversary Tour New Japan Ism 2012 - Tag 3
6333,KUSHIDA vs. Mascara Dorada,01/22/2012,New Japan Pro Wrestling,Singles,NJPW Presents CMLL Fantastica Mania 2012 - Tag 2
6334,La Sombra vs. Volador Jr.,01/22/2012,New Japan Pro Wrestling,Singles,NJPW Presents CMLL Fantastica Mania 2012 - Tag 2
6335,"Diamante, Hiroshi Tanahashi & Tetsuya Naito vs. Kazuchika Okada, Mephisto & Shinsuke Nakamura",01/22/2012,New Japan Pro Wrestling,Six Man Tag Team,NJPW Presents CMLL Fantastica Mania 2012 - Tag 2
6336,Hiroshi Tanahashi & La Sombra vs. Kazuchika Okada & Volador Jr.,01/21/2012,New Japan Pro Wrestling,Tag Team,NJPW Presents CMLL Fantastica Mania 2012 - Tag 1
