Index,Fixture,Date,Promotion,Match type,Event
0,Roderick Strong vs. Tomohiro Ishii,07/20/2024,All Elite Wrestling,Singles,AEW Collision #54
1,Darby Allin vs. The Beast Mortos,07/20/2024,All Elite Wrestling,Singles,AEW Collision #54
2,Rey Fenix vs. Tony Nese,07/20/2024,All Elite Wrestling,Singles,AEW Collision #54
3,Deonna Purrazzo vs. Thunder Rosa,07/20/2024,All Elite Wrestling,Lumberjack,AEW Collision #54
4,"Austin Gunn, Colten Gunn & Juice Robinson vs. Christian Cage, Killswitch & Nick Wayne",07/20/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #54
5,Mercedes Mone vs. Nyla Rose,07/17/2024,All Elite Wrestling,Singles,AEW Dynamite #250
6,Kazuchika Okada vs. Swerve Strickland,07/17/2024,All Elite Wrestling,Singles,AEW Dynamite #250
7,"Kyle O'Reilly, Orange Cassidy & Tomohiro Ishii vs. Matt Taven, Mike Bennett & Roderick Strong",07/17/2024,All Elite Wrestling,Six Man Tag Team,AEW Rampage #154
8,Isiah Kassidy & Marq Quen vs. Penta El Zero Miedo & Rey Fenix,07/17/2024,All Elite Wrestling,Tag Team,AEW Rampage #154
9,MJF vs. Will Ospreay,07/17/2024,All Elite Wrestling,Singles,AEW Dynamite #250
10,Chris Jericho vs. Samoa Joe,07/10/2024,All Elite Wrestling,Street Fight,AEW Dynamite #249
11,Dalton Castle vs. Roderick Strong,07/10/2024,All Elite Wrestling,Singles,AEW Collision #53
12,Anthony Ogogo & Lee Moriarty vs. Dante Martin & Darius Martin,07/10/2024,All Elite Wrestling,Tag Team,AEW Collision #53
13,Harley Cameron vs. Skye Blue,07/10/2024,All Elite Wrestling,Singles,AEW Collision #53
14,Kyle O'Reilly & Orange Cassidy vs. Matt Taven & Mike Bennett,07/10/2024,All Elite Wrestling,Tag Team,AEW Collision #53
15,Adam Page vs. Bryan Danielson,07/10/2024,All Elite Wrestling,Singles,AEW Dynamite #249
16,Claudio Castagnoli vs. Kyle Fletcher vs. PAC vs. Tomohiro Ishii,07/10/2024,All Elite Wrestling,Four Way,AEW Dynamite #249
17,Mariah May vs. Willow Nightingale,07/10/2024,All Elite Wrestling,Singles,AEW Dynamite #249
18,Konosuke Takeshita vs. Tommy Billington,07/10/2024,All Elite Wrestling,Singles,AEW Collision #53
19,Lady Frost vs. Riho,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
20,Claudio Castagnoli vs. The Beast Mortos,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
21,Toni Storm vs. Trish Adora,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
22,"Boulder, Bronson & Jacked Jameson vs. Kyle O'Reilly, Mark Briscoe & Orange Cassidy",07/06/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #52
23,Ariya Daivari & Tony Nese vs. Brody King & Malakai Black,07/06/2024,All Elite Wrestling,Tag Team,AEW Rampage #153
24,Angelico vs. AR Fox vs. Komander vs. Rey Fenix,07/06/2024,All Elite Wrestling,Four Way,AEW Rampage #153
25,"Action Andretti, Dante Martin & Darius Martin vs. Anthony Ogogo, Lee Moriarty & Shane Taylor",07/06/2024,All Elite Wrestling,Six Man Tag Team,AEW Rampage #153
26,Adam Page vs. Jay White,07/06/2024,All Elite Wrestling,Singles,AEW Collision #52
27,Kris Statlander vs. Willow Nightingale,07/03/2024,All Elite Wrestling,Singles,AEW Dynamite #248 - Beach Break 2024 - Tag 1
28,"Bishop Kaun, Brian Cage & Toa Liona vs. Hook, Katsuyori Shibata & Samoa Joe",07/03/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynamite #248 - Beach Break 2024 - Tag 1
29,Komander vs. Rush,07/03/2024,All Elite Wrestling,Singles,AEW Rampage #152 - Beach Break 2024 - Tag 2
30,Isiah Kassidy & Marq Quen vs. Konosuke Takeshita & Kyle Fletcher,07/03/2024,All Elite Wrestling,Tag Team,AEW Rampage #152 - Beach Break 2024 - Tag 2
31,Hikaru Shida vs. Mariah May,07/03/2024,All Elite Wrestling,Singles,AEW Rampage #152 - Beach Break 2024 - Tag 2
32,Adam Page vs. Jeff Jarrett,07/03/2024,All Elite Wrestling,Singles,AEW Dynamite #248 - Beach Break 2024 - Tag 1
33,Daniel Garcia vs. Will Ospreay,07/03/2024,All Elite Wrestling,Singles,AEW Dynamite #248 - Beach Break 2024 - Tag 1
34,Bryan Danielson vs. PAC,07/03/2024,All Elite Wrestling,Singles,AEW Dynamite #248 - Beach Break 2024 - Tag 1
35,Brody King & Malakai Black vs. Gabe Kidd & Roderick Strong vs. Isiah Kassidy & Marq Quen vs. Kyle O'Reilly & Tomohiro Ishii,06/30/2024,All Elite Wrestling,Four Way Tag Team,AEW/NJPW Forbidden Door 2024 - Zero Hour
36,Kris Statlander & Momo Watanabe vs. Tam Nakano & Willow Nightingale,06/30/2024,All Elite Wrestling,Tag Team,AEW/NJPW Forbidden Door 2024 - Zero Hour
37,"Hiromu Takahashi, Titan & Yota Tsuji vs. Mistico, Penta El Zero Miedo & Rey Fenix",06/30/2024,All Elite Wrestling,Six Man Tag Team,AEW/NJPW Forbidden Door 2024 - Zero Hour
38,Hechicero vs. MJF,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
39,"Anthony Bowens, Hiroshi Tanahashi & Max Caster vs. Kazuchika Okada, Matthew Jackson & Nicholas Jackson",06/30/2024,All Elite Wrestling,Six Man Tag Team,AEW/NJPW Forbidden Door 2024
40,Bryan Danielson vs. Shingo Takagi,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
41,Mina Shirakawa vs. Toni Storm,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
42,Swerve Strickland vs. Will Ospreay,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
43,Mercedes Mone vs. Stephanie Vaquer,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
44,Jon Moxley vs. Tetsuya Naito,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
45,Orange Cassidy vs. Zack Sabre Jr.,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024
46,"Big Bill, Chris Jericho & Jeff Cobb vs. Hook, Katsuyori Shibata & Samoa Joe",06/30/2024,All Elite Wrestling,Six Man Tag Team,AEW/NJPW Forbidden Door 2024
47,Dante Martin vs. El Phantasmo vs. Jack Perry vs. Konosuke Takeshita vs. Lio Rush vs. Mark Briscoe,06/30/2024,All Elite Wrestling,Ladder,AEW/NJPW Forbidden Door 2024
48,Mariah May vs. Saraya,06/30/2024,All Elite Wrestling,Singles,AEW/NJPW Forbidden Door 2024 - Zero Hour
49,"Anna Jay, Harley Cameron & Saraya vs. Mariah May, Mina Shirakawa & Toni Storm",06/26/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynamite #247
50,Orange Cassidy & Tomohiro Ishii vs. Robbie Eagles & Shane Haste,06/26/2024,All Elite Wrestling,Tag Team,AEW Collision #51
51,Daniel Garcia vs. The Butcher,06/26/2024,All Elite Wrestling,Singles,AEW Collision #51
52,Lady Frost vs. Stephanie Vaquer,06/26/2024,All Elite Wrestling,Singles,AEW Collision #51
53,Deonna Purrazzo vs. Hikaru Shida,06/26/2024,All Elite Wrestling,Singles,AEW Collision #51
54,"Claudio Castagnoli, Jon Moxley & Wheeler Yuta vs. Hiromu Takahashi, Shingo Takagi & Titan",06/26/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynamite #247
55,Jay White vs. Rey Fenix,06/26/2024,All Elite Wrestling,Singles,AEW Dynamite #247
56,Kyle O'Reilly vs. Zack Sabre Jr.,06/26/2024,All Elite Wrestling,Singles,AEW Dynamite #247
57,Bishop Kaun & Toa Liona vs. Swerve Strickland & Will Ospreay,06/26/2024,All Elite Wrestling,Tag Team,AEW Dynamite #247
58,"Dante Martin, Lio Rush & Mark Briscoe vs. El Phantasmo, Jack Perry & Konosuke Takeshita",06/26/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #51
59,Big Bill & Chris Jericho vs. Isiah Kassidy & Marq Quen,06/20/2024,All Elite Wrestling,Tag Team,AEW Collision #50
60,"Ariya Daivari, Josh Woods & Tony Nese vs. Hook, Katsuyori Shibata & Samoa Joe",06/20/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #50
61,Kazuchika Okada vs. Ultimo Guerrero,06/20/2024,All Elite Wrestling,Singles,AEW Collision #50
62,Lady Frost & Leyla Hirsch vs. Mariah May & Toni Storm,06/20/2024,All Elite Wrestling,Tag Team,AEW Collision #50
63,Orange Cassidy vs. Truth Magnum & Turbo Floyd,06/20/2024,All Elite Wrestling,Two On One Handicap,AEW Rampage #151
64,Carlie Bravo & Shawn Dean vs. Gabe Kidd & Roderick Strong,06/20/2024,All Elite Wrestling,Tag Team,AEW Rampage #151
65,AR Fox vs. El Phantasmo,06/20/2024,All Elite Wrestling,Singles,AEW Rampage #151
66,Dalton Castle vs. Shingo Takagi,06/20/2024,All Elite Wrestling,Singles,AEW Rampage #151
67,Queen Aminata vs. Skye Blue,06/20/2024,All Elite Wrestling,Singles,AEW Rampage #151
68,Brian Cage vs. Will Ospreay,06/20/2024,All Elite Wrestling,Singles,AEW Collision #50
69,Kris Statlander vs. Nyla Rose,06/19/2024,All Elite Wrestling,Singles,AEW Dynamite #246
70,Isiah Kassidy & Marq Quen vs. Komander & Metalik,06/19/2024,All Elite Wrestling,Tag Team,AEW Rampage #150
71,Action Andretti vs. Lio Rush,06/19/2024,All Elite Wrestling,Singles,AEW Rampage #150
72,Serena Deeb vs. Willow Nightingale,06/19/2024,All Elite Wrestling,Singles,AEW Rampage #150
73,MJF vs. Rush,06/19/2024,All Elite Wrestling,Singles,AEW Dynamite #246
74,"Dante Martin, Kyle O'Reilly, Mark Briscoe & Orange Cassidy vs. Konosuke Takeshita, Kyle Fletcher, Roderick Strong & Zack Sabre Jr.",06/19/2024,All Elite Wrestling,Eight Man Tag Team,AEW Dynamite #246
75,Anthony Bowens & Max Caster vs. Matthew Jackson & Nicholas Jackson,06/19/2024,All Elite Wrestling,Tag Team,AEW Dynamite #246
76,Claudio Castagnoli vs. PAC,06/19/2024,All Elite Wrestling,Singles,AEW Dynamite #246
77,Deonna Purrazzo vs. Thunder Rosa,06/15/2024,All Elite Wrestling,No Disqualification,AEW Collision #49 - 1 Year Anniversary
78,Dante Martin vs. Lee Moriarty,06/15/2024,All Elite Wrestling,Singles,AEW Collision #49 - 1 Year Anniversary
79,"Bryan Danielson, Claudio Castagnoli, Jon Moxley & Wheeler Yuta vs. Lio Rush, Mikey Nicholls, Rocky Romero & Shane Haste",06/15/2024,All Elite Wrestling,Eight Man Tag Team,AEW Collision #49 - 1 Year Anniversary
80,"Austin Gunn, Colten Gunn & Juice Robinson vs. Brody King, Buddy Matthews & Malakai Black",06/15/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #49 - 1 Year Anniversary
81,Mercedes Mone vs. Zeuxis,06/12/2024,All Elite Wrestling,Singles,AEW Dynamite #245
82,Dustin Rhodes vs. Jack Perry,06/12/2024,All Elite Wrestling,Singles,AEW Dynamite #245
83,Rocky Romero vs. Shota Umino,06/12/2024,All Elite Wrestling,Singles,AEW Rampage #149
84,Jay Lethal vs. PAC,06/12/2024,All Elite Wrestling,Singles,AEW Rampage #149
85,Alex Windsor vs. Toni Storm,06/12/2024,All Elite Wrestling,Singles,AEW Rampage #149
86,Rey Fenix vs. Will Ospreay,06/12/2024,All Elite Wrestling,Singles,AEW Dynamite #245
87,"Konosuke Takeshita, Kyle Fletcher & Roderick Strong vs. Kyle O'Reilly, Mark Briscoe & Orange Cassidy",06/12/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynamite #245
88,Lady Frost vs. Toni Storm,06/08/2024,All Elite Wrestling,Singles,AEW Collision #48
89,Dustin Rhodes vs. Johnny TV,06/08/2024,All Elite Wrestling,Singles,AEW Collision #48
90,Cash Wheeler & Dax Harwood vs. Claudio Castagnoli & Wheeler Yuta,06/08/2024,All Elite Wrestling,Tag Team,AEW Collision #48
91,Kyle O'Reilly vs. Orange Cassidy,06/08/2024,All Elite Wrestling,Singles,AEW Collision #48
92,Jay Lethal vs. Kyle O'Reilly vs. Orange Cassidy vs. Rey Fenix,06/05/2024,All Elite Wrestling,Four Way,AEW Dynamite #244
93,Brian Cage vs. Mark Briscoe,06/05/2024,All Elite Wrestling,Singles,AEW Dynamite #244
94,Mariah May vs. Saraya,06/05/2024,All Elite Wrestling,Singles,AEW Dynamite #244
95,Mina Shirakawa vs. Serena Deeb,06/05/2024,All Elite Wrestling,Singles,AEW Rampage #148
96,Penta El Zero Miedo vs. The Butcher,06/05/2024,All Elite Wrestling,Singles,AEW Rampage #148
97,Bishop Kaun & Toa Liona vs. Isiah Kassidy & Marq Quen,06/05/2024,All Elite Wrestling,Tag Team,AEW Rampage #148
98,"Bryan Danielson, Claudio Castagnoli, Jon Moxley & Wheeler Yuta vs. Esfinge, Magnus, Rugido & Volador Jr.",06/05/2024,All Elite Wrestling,Eight Man Tag Team,AEW Dynamite #244
99,Roderick Strong vs. Swerve Strickland,06/05/2024,All Elite Wrestling,Singles,AEW Dynamite #244
100,Claudio Castagnoli vs. Johnny TV,05/30/2024,All Elite Wrestling,Singles,AEW Collision #47
101,Jorel Nelson & Royce Isaacs vs. Lee Moriarty & Shane Taylor,05/30/2024,All Elite Wrestling,Tag Team,AEW Collision #47
102,Kyle O'Reilly vs. Will Ospreay,05/30/2024,All Elite Wrestling,Singles,AEW Collision #47
103,Lio Rush vs. Roderick Strong,05/30/2024,All Elite Wrestling,Singles,AEW Collision #47
104,Anthony Henry & JD Drake vs. Daniel Garcia & Katsuyori Shibata,05/30/2024,All Elite Wrestling,Tag Team,AEW Collision #47
105,Mercedes Mone vs. Skye Blue,05/29/2024,All Elite Wrestling,Singles,AEW Dynamite #243
106,Jon Moxley vs. Rocky Romero,05/29/2024,All Elite Wrestling,Singles,AEW Dynamite #243
107,Konosuke Takeshita vs. Penta El Zero Miedo,05/29/2024,All Elite Wrestling,Singles,AEW Rampage #147
108,Toni Storm vs. Viva Van,05/29/2024,All Elite Wrestling,Singles,AEW Rampage #147
109,Isiah Kassidy vs. Rey Fenix,05/29/2024,All Elite Wrestling,Singles,AEW Rampage #147
110,Claudio Castagnoli vs. Hechicero vs. Jay White vs. Lio Rush vs. Mistico vs. Orange Cassidy vs. PAC vs. Shota Umino vs. Will Ospreay,05/29/2024,All Elite Wrestling,Casino Gauntlet,AEW Dynamite #243
111,Killswitch vs. Swerve Strickland,05/29/2024,All Elite Wrestling,Singles,AEW Dynamite #243
112,Deonna Purrazzo vs. Thunder Rosa,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024 - The Buy In
113,"Anthony Bowens, Billy Gunn & Max Caster vs. Bishop Kaun, Brian Cage & Toa Liona",05/26/2024,All Elite Wrestling,Six Man Tag Team,AEW Double Or Nothing 2024 - The Buy In
114,Roderick Strong vs. Will Ospreay,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024
115,"Austin Gunn, Colten Gunn & Jay White vs. PAC, Penta El Zero Miedo & Rey Fenix",05/26/2024,All Elite Wrestling,Six Man Tag Team,AEW Double Or Nothing 2024
116,Serena Deeb vs. Toni Storm,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024
117,"Bryan Danielson, Cash Wheeler, Darby Allin & Dax Harwood vs. Jack Perry, Kazuchika Okada, Matthew Jackson & Nicholas Jackson",05/26/2024,All Elite Wrestling,Anarchy In The Arena,AEW Double Or Nothing 2024
118,Christian Cage vs. Swerve Strickland,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024
119,Orange Cassidy vs. Trent Beretta,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024
120,Jon Moxley vs. Konosuke Takeshita,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024
121,Chris Jericho vs. Hook vs. Katsuyori Shibata,05/26/2024,All Elite Wrestling,Three Way,AEW Double Or Nothing 2024
122,Adam Copeland vs. Malakai Black,05/26/2024,All Elite Wrestling,Barbed Wire Steel Cage,AEW Double Or Nothing 2024
123,Mercedes Mone vs. Willow Nightingale,05/26/2024,All Elite Wrestling,Singles,AEW Double Or Nothing 2024
124,"Claudio Castagnoli, Daniel Garcia & Hiroshi Tanahashi vs. Dutch, Lance Archer & Vincent",05/25/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #46
125,Austin Gunn & Colten Gunn vs. Penta El Zero Miedo & Rey Fenix,05/25/2024,All Elite Wrestling,Tag Team,AEW Collision #46
126,Anthony Bowens & Max Caster vs. Bishop Kaun & Toa Liona vs. Brody King & Buddy Matthews vs. Carlie Bravo & Shawn Dean,05/25/2024,All Elite Wrestling,Four Way Tag Team,AEW Collision #46
127,Leyla Hirsch vs. Mariah May,05/25/2024,All Elite Wrestling,Singles,AEW Collision #46
128,"Bryan Danielson, Cash Wheeler & Dax Harwood vs. Jay Lethal, Jeff Jarrett & Satnam Singh",05/25/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #46
129,Bryan Danielson vs. Satnam Singh,05/22/2024,All Elite Wrestling,Singles,AEW Dynamite #242
130,Bryan Keith vs. Hook vs. Katsuyori Shibata,05/22/2024,All Elite Wrestling,Three Way,AEW Dynamite #242
131,Nick Wayne vs. Swerve Strickland,05/22/2024,All Elite Wrestling,Singles,AEW Dynamite #242
132,Kyle O'Reilly vs. Malakai Black,05/22/2024,All Elite Wrestling,Singles,AEW Dynamite #242
133,Harley Cameron & Saraya vs. Mariah May & Toni Storm,05/22/2024,All Elite Wrestling,Tag Team,AEW Dynamite #242
134,PAC vs. Rocky Romero,05/22/2024,All Elite Wrestling,Singles,AEW Rampage #146
135,Isiah Kassidy vs. Rush,05/22/2024,All Elite Wrestling,Singles,AEW Rampage #146
136,Alex Windsor & Anna Jay vs. Kris Statlander & Willow Nightingale,05/22/2024,All Elite Wrestling,Tag Team,AEW Rampage #146
137,Orange Cassidy & Will Ospreay vs. Roderick Strong & Trent Beretta,05/22/2024,All Elite Wrestling,Tag Team,AEW Dynamite #242
138,Kyle O'Reilly vs. Lee Moriarty,05/16/2024,All Elite Wrestling,Singles,AEW Rampage #145
139,Deonna Purrazzo vs. Robyn Renegade,05/16/2024,All Elite Wrestling,Singles,AEW Rampage #145
140,Anthony Bowens vs. Brian Cage,05/16/2024,All Elite Wrestling,Singles,AEW Rampage #145
141,Katsuyori Shibata vs. Rocky Romero,05/16/2024,All Elite Wrestling,Singles,AEW Collision #45
142,Isiah Kassidy vs. Orange Cassidy,05/16/2024,All Elite Wrestling,Singles,AEW Collision #45
143,Anna Jay vs. Serena Deeb,05/16/2024,All Elite Wrestling,Singles,AEW Collision #45
144,Shane Taylor vs. Will Ospreay,05/16/2024,All Elite Wrestling,Singles,AEW Collision #45
145,"Bryan Danielson, Cash Wheeler & Dax Harwood vs. Dutch, Lance Archer & Vincent",05/16/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #45
146,Christopher Daniels & Matt Sydal vs. Matthew Jackson & Nicholas Jackson,05/15/2024,All Elite Wrestling,Tag Team,AEW Dynamite #241
147,Harley Cameron vs. Toni Storm,05/15/2024,All Elite Wrestling,Singles,AEW Dynamite #241
148,Bryan Danielson & Jon Moxley vs. Jeff Cobb & Kyle Fletcher,05/15/2024,All Elite Wrestling,Tag Team,AEW Dynamite #241
149,Brian Cage vs. Swerve Strickland,05/15/2024,All Elite Wrestling,Singles,AEW Dynamite #241
150,Dax Harwood vs. Kazuchika Okada,05/15/2024,All Elite Wrestling,Singles,AEW Dynamite #241
151,Robyn Renegade vs. Thunder Rosa,05/11/2024,All Elite Wrestling,Singles,AEW Collision #44
152,Dalton Castle vs. Trent Beretta,05/11/2024,All Elite Wrestling,Singles,AEW Rampage #144
153,Deonna Purrazzo vs. Lady Frost,05/11/2024,All Elite Wrestling,Singles,AEW Rampage #144
154,Johnny TV vs. PAC,05/11/2024,All Elite Wrestling,Singles,AEW Rampage #144
155,Adam Copeland vs. Kyle O'Reilly,05/11/2024,All Elite Wrestling,Singles,AEW Collision #44
156,Bryan Danielson & Claudio Castagnoli vs. Dante Martin & Darius Martin,05/11/2024,All Elite Wrestling,Tag Team,AEW Collision #44
157,Lee Moriarty vs. Will Ospreay,05/11/2024,All Elite Wrestling,Singles,AEW Collision #44
158,Dax Harwood vs. Tommy Billington,05/11/2024,All Elite Wrestling,Singles,AEW Collision #44
159,Harley Cameron vs. Mariah May,05/08/2024,All Elite Wrestling,Singles,AEW Dynamite #240
160,Jay White vs. Rocky Romero,05/08/2024,All Elite Wrestling,Singles,AEW Dynamite #240
161,Orange Cassidy vs. Trent Beretta,05/08/2024,All Elite Wrestling,Singles,AEW Dynamite #240
162,Adam Copeland vs. Brody King,05/08/2024,All Elite Wrestling,No Disqualification,AEW Dynamite #240
163,Brian Cage vs. Claudio Castagnoli,05/01/2024,All Elite Wrestling,Singles,AEW Dynamite #239
164,Dante Martin vs. Jay White,05/01/2024,All Elite Wrestling,Singles,AEW Rampage #143
165,Kyle O'Reilly vs. Rocky Romero,05/01/2024,All Elite Wrestling,Singles,AEW Rampage #143
166,Skye Blue vs. Willow Nightingale,05/01/2024,All Elite Wrestling,Manitoba Massacre,AEW Rampage #143
167,Adam Copeland vs. Buddy Matthews,05/01/2024,All Elite Wrestling,Singles,AEW Dynamite #239
168,Chris Jericho vs. Katsuyori Shibata,05/01/2024,All Elite Wrestling,FTW Rules,AEW Dynamite #239
169,Mariah May vs. Serena Deeb,05/01/2024,All Elite Wrestling,Singles,AEW Dynamite #239
170,"Action Andretti, Dante Martin & Darius Martin vs. Austin Gunn, Colten Gunn & Jay White",04/27/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #43
171,Anna Jay vs. Toni Storm,04/27/2024,All Elite Wrestling,Singles,AEW Collision #43
172,Anthony Bowens & Max Caster vs. James Drake & Zack Gibson,04/27/2024,All Elite Wrestling,Tag Team,AEW Collision #43
173,Deonna Purrazzo vs. Thunder Rosa,04/27/2024,All Elite Wrestling,Singles,AEW Rampage #142
174,Daniel Garcia & Katsuyori Shibata vs. Lee Moriarty & Shane Taylor,04/27/2024,All Elite Wrestling,Tag Team,AEW Rampage #142
175,Claudio Castagnoli vs. Swerve Strickland,04/27/2024,All Elite Wrestling,Singles,AEW Collision #43
176,Rey Fenix vs. The Beast Mortos,04/27/2024,All Elite Wrestling,Singles,AEW Collision #43
177,Chuck Taylor vs. Trent Beretta,04/27/2024,All Elite Wrestling,Parking Lot Fight,AEW Rampage #142
178,Kyle Fletcher vs. Swerve Strickland,04/24/2024,All Elite Wrestling,Singles,AEW Dynamite #238
179,Anna Jay vs. Mina Shirakawa,04/24/2024,All Elite Wrestling,Singles,AEW Dynamite #238
180,Dante Martin vs. Jay Lethal vs. Jay White vs. Komander vs. Kyle O'Reilly vs. Lance Archer vs. Penta El Zero Miedo vs. Will Ospreay,04/24/2024,All Elite Wrestling,Casino Gauntlet,AEW Dynamite #238
181,Jon Moxley vs. Powerhouse Hobbs,04/24/2024,All Elite Wrestling,Singles,AEW Dynamite #238
182,Matt Sydal vs. Trent Beretta,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty - Zero Hour
183,Katsuyori Shibata & Orange Cassidy vs. Lee Moriarty & Shane Taylor,04/21/2024,All Elite Wrestling,Tag Team,AEW Dynasty - Zero Hour
184,"Anthony Bowens, Billy Gunn & Max Caster vs. Austin Gunn, Colten Gunn & Jay White",04/21/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynasty - Zero Hour
185,Kazuchika Okada vs. PAC,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty
186,"Adam Copeland, Eddie Kingston & Mark Briscoe vs. Brody King, Buddy Matthews & Malakai Black",04/21/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynasty
187,Julia Hart vs. Willow Nightingale,04/21/2024,All Elite Wrestling,House Rules,AEW Dynasty
188,Kyle O'Reilly vs. Roderick Strong,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty
189,Chris Jericho vs. Hook,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty
190,Thunder Rosa vs. Toni Storm,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty
191,Bryan Danielson vs. Will Ospreay,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty
192,Cash Wheeler & Dax Harwood vs. Matthew Jackson & Nicholas Jackson,04/21/2024,All Elite Wrestling,Ladder,AEW Dynasty
193,Samoa Joe vs. Swerve Strickland,04/21/2024,All Elite Wrestling,Singles,AEW Dynasty
194,Leyla Hirsch vs. Skye Blue,04/20/2024,All Elite Wrestling,Singles,AEW Collision #42
195,Emi Sakura vs. Yuka Sakazaki,04/20/2024,All Elite Wrestling,Singles,AEW Rampage #141
196,"Action Andretti, Dante Martin & Darius Martin vs. Adam Copeland, Eddie Kingston & Mark Briscoe",04/20/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #42
197,Anthony Bowens & Max Caster vs. Austin Gunn & Colten Gunn,04/20/2024,All Elite Wrestling,Tag Team,AEW Collision #42
198,Bryan Danielson & Claudio Castagnoli vs. Konosuke Takeshita & Kyle Fletcher,04/20/2024,All Elite Wrestling,Bunkhouse Brawl Tag Team,AEW Collision #42
199,"Cash Wheeler, Dax Harwood & PAC vs. Kazuchika Okada, Matthew Jackson & Nicholas Jackson",04/20/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #42
200,Isiah Kassidy vs. Komander vs. Lee Johnson vs. Rob Van Dam,04/20/2024,All Elite Wrestling,Four Way Elimination,AEW Rampage #141
201,"Kyle O'Reilly, Matt Menard & Rocky Romero vs. Matt Taven, Mike Bennett & Roderick Strong",04/20/2024,All Elite Wrestling,Six Man Tag Team,AEW Rampage #141
202,Adam Copeland & Willow Nightingale vs. Brody King & Julia Hart,04/17/2024,All Elite Wrestling,Mixed Tag Team,AEW Dynamite #237
203,Orange Cassidy vs. Shane Taylor,04/17/2024,All Elite Wrestling,Singles,AEW Dynamite #237
204,Deonna Purrazzo vs. Mariah May,04/17/2024,All Elite Wrestling,Singles,AEW Dynamite #237
205,"Daniel Garcia, PAC & Penta El Zero Miedo vs. Kazuchika Okada, Matthew Jackson & Nicholas Jackson",04/17/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynamite #237
206,Claudio Castagnoli vs. Will Ospreay,04/17/2024,All Elite Wrestling,Singles,AEW Dynamite #237
207,AZM vs. Toni Storm,04/13/2024,All Elite Wrestling,Singles,AEW Collision #41
208,Katsuyori Shibata vs. Lee Moriarty,04/13/2024,All Elite Wrestling,Singles,AEW Collision #41
209,Angelico vs. Daniel Garcia,04/13/2024,All Elite Wrestling,Singles,AEW Collision #41
210,Hook vs. Shane Taylor,04/13/2024,All Elite Wrestling,FTW Rules,AEW Battle Of The Belts X
211,Athena vs. Red Velvet,04/13/2024,All Elite Wrestling,Singles,AEW Battle Of The Belts X
212,"Action Andretti, Dante Martin & Matt Sydal vs. Brody King, Buddy Matthews & Malakai Black",04/13/2024,All Elite Wrestling,Six Man Tag Team,AEW Collision #41
213,Bryan Danielson & Claudio Castagnoli vs. Kyle Fletcher & Powerhouse Hobbs,04/13/2024,All Elite Wrestling,Tag Team,AEW Collision #41
214,Rocky Romero vs. Roderick Strong,04/13/2024,All Elite Wrestling,Singles,AEW Battle Of The Belts X
215,"Anthony Ogogo, Lee Moriarty & Shane Taylor vs. Chris Jericho, Hook & Katsuyori Shibata",04/10/2024,All Elite Wrestling,Six Man Tag Team,AEW Dynamite #236
216,Anna Jay vs. Mariah May,04/10/2024,All Elite Wrestling,Singles,AEW Dynamite #236
