Index,Fixture,Date,Promotion,Match type,Event,WON rating
47,Jeff Jarrett vs. X-Pac,06/28/1999,World Wrestling Federation,Singles,WWF RAW is WAR #318 ,
48,Steve Austin vs. The Undertaker,06/28/1999,World Wrestling Federation,Singles,WWF RAW is WAR #318 ,
49,Shane McMahon & Vince McMahon vs. Steve Austin,06/27/1999,World Wrestling Federation,Two On One Handicap Ladder,WWF King Of The Ring 1999 ,
50,The Rock vs. The Undertaker,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
51,Kane vs. The Big Show,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
52,Chyna vs. The Road Dogg,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
53,Kane vs. Mr. Ass,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
54,Mr. Ass vs. X-Pac,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999 ,
55,Steve Austin vs. The Big Bossman,06/21/1999,World Wrestling Federation,Singles,WWF RAW is WAR #317 ,
56,The Undertaker vs. Triple H,06/21/1999,World Wrestling Federation,Singles,WWF RAW is WAR #317 ,
57,Kane vs. Ken Shamrock vs. Mr. Ass vs. The Big Show,06/20/1999,World Wrestling Federation,Fatal Four Way Elimination,WWF Sunday Night Heat #47 ,
58,Chyna vs. Hardcore Holly vs. The Road Dogg vs. X-Pac,06/20/1999,World Wrestling Federation,Fatal Four Way Elimination,WWF Sunday Night Heat #47 ,
59,Bradshaw & Faarooq vs. Kane,06/08/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #316 ,
60,The Rock vs. The Undertaker & Triple H,06/08/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #316 ,
61,The Big Show vs. The Undertaker,06/07/1999,World Wrestling Federation,Singles,WWF RAW is WAR #315 ,
62,Mankind vs. Triple H,05/25/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #314 ,
63,Steve Austin vs. The Undertaker,05/25/1999,World Wrestling Federation,Singles,WWF RAW is WAR #314 ,
64,D-Lo Brown & Mark Henry vs. Droz & Prince Albert,05/25/1999,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night ,
65,Debra & Jeff Jarrett vs. Nicole Bass & Val Venis,05/23/1999,World Wrestling Federation,Mixed Tag Team,WWF Over The Edge 1999 ,
66,Al Snow vs. Hardcore Holly,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999 ,
67,D-Lo Brown & Mark Henry vs. Kane & X-Pac,05/23/1999,World Wrestling Federation,Tag Team,WWF Over The Edge 1999 ,
68,The Rock vs. Triple H,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999 ,
69,Steve Austin vs. The Undertaker,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999 ,
70,Mr. Ass vs. The Road Dogg,05/23/1999,World Wrestling Federation,Singles,WWF Over The Edge 1999 ,
71,"Bradshaw, Faarooq, The Big Bossman & Viscera vs. Ken Shamrock, Mankind, Test & The Big Show",05/23/1999,World Wrestling Federation,Eight Man Tag Team Elimination,WWF Over The Edge 1999 ,
72,Steve Austin vs. The Undertaker vs. Triple H,05/16/1999,World Wrestling Federation,Triple Threat,WWF No Mercy 1999 ,
73,Droz vs. Steve Blackman,05/16/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
74,"Bradshaw, Faarooq & Viscera vs. Christian, Edge & Gangrel",05/16/1999,World Wrestling Federation,Six Man Tag Team,WWF No Mercy 1999 ,
75,Shane McMahon vs. X-Pac,05/16/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
76,Mankind vs. Mr. Ass,05/16/1999,World Wrestling Federation,Singles,WWF No Mercy 1999 ,
77,"Christian, Edge & Gangrel vs. Jeff Hardy, Matt Hardy & Michael Hayes",05/11/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #312 ,
78,"Billy Gunn, D-Lo Brown & Mark Henry vs. Kane, The Road Dogg & X-Pac",05/11/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #312 ,
79,Meat vs. Test,05/11/1999,World Wrestling Federation,Singles,WWF RAW is WAR #312 ,
80,Steve Austin vs. Triple H,05/11/1999,World Wrestling Federation,Singles,WWF RAW is WAR #312 ,
81,Billy Gunn vs. Kane,05/10/1999,World Wrestling Federation,Singles,WWF RAW is WAR #311 ,
82,Test vs. The Big Bossman,05/10/1999,World Wrestling Federation,Coal Miner's Nightstick,WWF RAW is WAR #311 ,
83,Jeff Jarrett vs. Val Venis,05/10/1999,World Wrestling Federation,Singles,WWF RAW is WAR #311 ,
84,Billy Gunn vs. X-Pac,05/02/1999,World Wrestling Federation,Singles,WWF RAW is WAR #310 ,
85,Bradshaw & Faarooq vs. Mankind,05/02/1999,World Wrestling Federation,Two On One Handicap Hardcore,WWF RAW is WAR #310 ,
86,Ken Shamrock vs. Triple H,05/02/1999,World Wrestling Federation,Singles,WWF RAW is WAR #310 ,
87,Kane & X-Pac vs. Mr. Ass & The Road Dogg,04/27/1999,World Wrestling Federation,Tag Team,WWF SmackDown #1 ,
88,Steve Austin & The Rock vs. The Undertaker & Triple H,04/27/1999,World Wrestling Federation,Tag Team,WWF SmackDown #1 ,
89,Billy Gunn vs. Triple H,04/26/1999,World Wrestling Federation,Singles,WWF RAW is WAR #309 ,
90,Ken Shamrock vs. The Undertaker,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999 ,
91,"Bradshaw, Faarooq & Mideon vs. Christian, Edge & Gangrel",04/25/1999,World Wrestling Federation,Six Man Tag Team,WWF Backlash 1999 ,
92,Al Snow vs. Hardcore Holly,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999 ,
93,Billy Gunn & The Road Dogg vs. Jeff Jarrett & Owen Hart,04/25/1999,World Wrestling Federation,Tag Team,WWF Backlash 1999 ,
94,Triple H vs. X-Pac,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999 ,
95,Goldust vs. The Godfather,04/25/1999,World Wrestling Federation,Singles,WWF Backlash 1999 ,
96,Steve Austin vs. The Rock,04/25/1999,World Wrestling Federation,No Holds Barred,WWF Backlash 1999 ,****1/4
97,Mankind vs. The Big Show,04/25/1999,World Wrestling Federation,Boiler Room Brawl,WWF Backlash 1999 ,***1/4
98,Bradshaw & Faarooq vs. Edge & Gangrel,04/13/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #308 ,
99,Mankind vs. Triple H,04/13/1999,World Wrestling Federation,Singles,WWF RAW is WAR #308 ,
100,Billy Gunn vs. Jeff Jarrett,04/13/1999,World Wrestling Federation,Singles,WWF RAW is WAR #308 ,
101,Kane & X-Pac vs. Test & Triple H,04/12/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #307 ,
102,Jeff Jarrett & Owen Hart vs. Kane & X-Pac,03/30/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #306 ,
103,Billy Gunn & The Road Dogg vs. Edge & Gangrel,03/30/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #306 ,
104,Gangrel vs. Ken Shamrock,03/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #305 ,
105,Billy Gunn vs. The Rock,03/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #305 ,
106,Al Snow vs. Billy Gunn vs. Hardcore Holly,03/28/1999,World Wrestling Federation,Triple Threat,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
107,Mankind vs. Paul Wight,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
108,Goldust vs. Ken Shamrock vs. The Road Dogg vs. Val Venis,03/28/1999,World Wrestling Federation,Four Way Elimination,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
109,Kane vs. Triple H,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
110,Sable vs. Tori,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
111,Shane McMahon vs. X-Pac,03/28/1999,World Wrestling Federation,Singles,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
112,The Big Bossman vs. The Undertaker,03/28/1999,World Wrestling Federation,Hell In A Cell,"WWF WrestleMania XV - ""The Ragin' Climax"" ",
113,Steve Austin vs. The Rock,03/28/1999,World Wrestling Federation,No Disqualification,"WWF WrestleMania XV - ""The Ragin' Climax"" ",***1/2
114,Mankind vs. The Rock,03/22/1999,World Wrestling Federation,Singles,WWF RAW is WAR #304 ,
115,Paul Wight vs. Steve Austin,03/22/1999,World Wrestling Federation,Singles,WWF RAW is WAR #304 ,
116,Billy Gunn vs. Hardcore Holly,03/15/1999,World Wrestling Federation,Singles,WWF RAW is WAR #303 ,
117,Mankind & Steve Austin vs. Paul Wight & The Rock,03/15/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #303 ,***3/4
