Index,Fixture,Date,Promotion,Match type,Event,WON rating
534,Goldust vs. Vader,05/05/1997,World Wrestling Federation,Singles,WWF RAW is WAR #208 ,
535,Doug Furnas & Philip LaFon vs. Road Warrior Animal & Road Warrior Hawk,05/05/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #208 ,
536,Steve Austin vs. The British Bulldog,05/05/1997,World Wrestling Federation,Singles,WWF RAW is WAR #208 ,
537,Owen Hart vs. Rocky Maivia,04/28/1997,World Wrestling Federation,Singles,WWF RAW is WAR #207 ,
538,Goldust vs. Hunter Hearst Helmsley,04/28/1997,World Wrestling Federation,Singles,WWF RAW is WAR #207 ,
539,Jesse Jammes vs. Rockabilly,04/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #206 ,
540,Bret Hart vs. Steve Austin,04/21/1997,World Wrestling Federation,Street Fight,WWF RAW is WAR #206 ,
541,Hunter Hearst Helmsley vs. The Undertaker,04/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #206 ,
542,Owen Hart & The British Bulldog vs. Road Warrior Animal & Road Warrior Hawk,04/20/1997,World Wrestling Federation,Tag Team,WWF In Your House 14: Revenge Of The Taker ,
543,Rocky Maivia vs. Savio Vega,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker ,
544,Jesse Jammes vs. Rockabilly,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker ,
545,Mankind vs. The Undertaker,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker ,***3/4
546,Bret Hart vs. Steve Austin,04/20/1997,World Wrestling Federation,Singles,WWF In Your House 14: Revenge Of The Taker ,***3/4
547,Flash Funk vs. Salvatore Sincere,04/09/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night ,
548,Rocky Maivia vs. Savio Vega,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205 ,
549,Hunter Hearst Helmsley vs. Jesse Jammes,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205 ,
550,Goldust vs. The Sultan,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205 ,
551,Ahmed Johnson vs. Crush,04/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #205 ,
552,Henry O. Godwinn & Phineas I. Godwinn vs. Owen Hart & The British Bulldog,04/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #204 ,
553,Billy Gunn vs. Steve Austin,04/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #204 ,
554,Henry O. Godwinn & Phineas I. Godwinn vs. Road Warrior Animal & Road Warrior Hawk,04/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #205 ,
555,Mankind & Vader vs. Mosh & Thrasher,04/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #205 ,
556,Mankind vs. Steve Austin,04/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #204 ,**1/2
557,Bret Hart vs. Rocky Maivia,03/31/1997,World Wrestling Federation,Singles,WWF RAW is WAR #203 ,
558,Owen Hart vs. The British Bulldog,03/31/1997,World Wrestling Federation,Singles,WWF RAW is WAR #203 ,
559,Goldust vs. Hunter Hearst Helmsley,03/31/1997,World Wrestling Federation,Singles,WWF RAW is WAR #203 ,
560,Histeria vs. Venum,03/24/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night ,
561,Mosh & Thrasher vs. Owen Hart & The British Bulldog,03/24/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #202 ,
562,Bart Gunn vs. Hunter Hearst Helmsley,03/24/1997,World Wrestling Federation,Singles,WWF RAW is WAR #202 ,
563,Ahmed Johnson vs. Savio Vega,03/24/1997,World Wrestling Federation,Singles,WWF RAW is WAR #202 ,
564,Blackjack Bradshaw & Blackjack Windham vs. Doug Furnas & Philip LaFon vs. Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher,03/23/1997,World Wrestling Federation,Four Way Elimination Tag Team,"WWF WrestleMania 13 - ""Heat"" ",
565,Rocky Maivia vs. The Sultan,03/23/1997,World Wrestling Federation,Singles,"WWF WrestleMania 13 - ""Heat"" ",
566,Goldust vs. Hunter Hearst Helmsley,03/23/1997,World Wrestling Federation,Singles,"WWF WrestleMania 13 - ""Heat"" ",
567,Mankind & Vader vs. Owen Hart & The British Bulldog,03/23/1997,World Wrestling Federation,Tag Team,"WWF WrestleMania 13 - ""Heat"" ",
568,Sycho Sid vs. The Undertaker,03/23/1997,World Wrestling Federation,No Disqualification,"WWF WrestleMania 13 - ""Heat"" ",
569,Billy Gunn vs. Flash Funk,03/23/1997,World Wrestling Federation,Singles,"WWF WrestleMania 13 - ""Heat"" ",
570,Bret Hart vs. Steve Austin,03/23/1997,World Wrestling Federation,No Holds Barred Submission,"WWF WrestleMania 13 - ""Heat"" ",*****
571,"Ahmed Johnson, Road Warrior Animal & Road Warrior Hawk vs. Crush, Faarooq & Savio Vega",03/23/1997,World Wrestling Federation,Six Man Tag Team Street Fight,"WWF WrestleMania 13 - ""Heat"" ",***1/2
572,Bret Hart vs. Sycho Sid,03/17/1997,World Wrestling Federation,Steel Cage,WWF RAW is WAR #201 ,
573,Crush & Savio Vega vs. Road Warrior Animal & Road Warrior Hawk,03/17/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #201 ,
574,Flash Funk vs. Hunter Hearst Helmsley,03/17/1997,World Wrestling Federation,Singles,WWF RAW is WAR #201 ,
575,The British Bulldog vs. Vader,03/17/1997,World Wrestling Federation,Singles,WWF RAW is WAR #201 ,
576,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,03/16/1997,World Wrestling Federation,Tag Team,WWF on MSG Network ,
577,The Undertaker vs. Vader,03/16/1997,World Wrestling Federation,Casket,WWF on MSG Network ,
578,Flash Funk vs. The Sultan,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network ,
579,Blackjack Bradshaw & Blackjack Windham vs. Henry O. Godwinn & Phineas I. Godwinn,03/16/1997,World Wrestling Federation,Tag Team,WWF on MSG Network ,
580,Ahmed Johnson vs. Savio Vega,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network ,
581,Hunter Hearst Helmsley vs. Rocky Maivia,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network ,
582,Faarooq vs. Goldust,03/16/1997,World Wrestling Federation,Singles,WWF on MSG Network ,
583,"Heavy Metal, Pentagon & Pierroth vs. Hector Garza, Latin Lover & Octagon",03/10/1997,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #200 ,
584,Blackjack Bradshaw & Blackjack Windham vs. Owen Hart & The British Bulldog,03/10/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #200 ,
585,Mankind & Vader vs. Sycho Sid & The Undertaker,03/10/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #200 ,
586,Owen Hart vs. The British Bulldog,03/03/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199 ,****1/2
587,Rocky Maivia vs. Vader,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199 ,
588,Bret Hart vs. Hunter Hearst Helmsley,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199 ,
589,Flash Funk vs. The Sultan,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199 ,
590,Mankind vs. Sycho Sid,02/26/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #199 ,
591,Blackjack Bradshaw & Blackjack Windham vs. Henry O. Godwinn & Phineas I. Godwinn,02/24/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #198 - ECW Invasion ,
592,Goldust vs. Savio Vega,02/24/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #198 - ECW Invasion ,
593,Mosh & Thrasher vs. Road Warrior Animal & Road Warrior Hawk,02/24/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #198 - ECW Invasion ,
594,Faarooq vs. The Undertaker,02/24/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #198 - ECW Invasion ,
595,Bret Hart vs. Sycho Sid,02/17/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #197 ,
596,Leif Cassidy vs. Rocky Maivia,02/17/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #197 ,
597,Flash Funk vs. Owen Hart,02/17/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #197 ,
598,Leif Cassidy vs. Marc Mero,02/16/1997,World Wrestling Federation,Singles,WWF In Your House 13: Final Four ,
599,"Bart Gunn, Flash Funk & Goldust vs. Crush, Faarooq & Savio Vega",02/16/1997,World Wrestling Federation,Six Man Tag Team,WWF In Your House 13: Final Four ,
600,Hunter Hearst Helmsley vs. Rocky Maivia,02/16/1997,World Wrestling Federation,Singles,WWF In Your House 13: Final Four ,
601,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,02/16/1997,World Wrestling Federation,Tag Team,WWF In Your House 13: Final Four ,***1/4
602,Bret Hart vs. Steve Austin vs. The Undertaker vs. Vader,02/16/1997,World Wrestling Federation,Battle Royal,WWF In Your House 13: Final Four ,****1/4
603,Hunter Hearst Helmsley vs. Rocky Maivia,02/13/1997,World Wrestling Federation,Singles,WWF Monday Night RAW - Thursday RAW Thursday ,
604,Aldo Montoya & Bob Holly vs. Mosh & Thrasher,02/13/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW - Thursday RAW Thursday ,
605,Savio Vega vs. The Undertaker,02/13/1997,World Wrestling Federation,Singles,WWF Monday Night RAW - Thursday RAW Thursday ,
606,Crush & Faarooq vs. Owen Hart & The British Bulldog,02/13/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW - Thursday RAW Thursday ,
607,Bret Hart vs. Vader,02/13/1997,World Wrestling Federation,Singles,WWF Monday Night RAW - Thursday RAW Thursday ,
608,Hunter Hearst Helmsley vs. The Undertaker,02/08/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #6 ,
609,Crush & Faarooq vs. Henry O. Godwinn & Phineas I. Godwinn,02/08/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #6 ,
610,Aldo Montoya vs. Savio Vega,02/08/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #6 ,
611,"Aldo Montoya, Henry O. Godwinn & Phineas I. Godwinn vs. Crush, Faarooq & Savio Vega",02/08/1997,World Wrestling Federation,Six Man Tag Team,WWF Shotgun Saturday Night #6 ,
612,Ahmed Johnson vs. Vader,02/01/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #5 ,
613,Mankind vs. The British Bulldog,02/01/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #5 ,
614,Jesse Jammes vs. Savio Vega,02/01/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #5 ,
615,Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher,02/01/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #5 ,
616,Bret Hart vs. Shawn Michaels vs. Sycho Sid,01/31/1997,World Wrestling Federation,Triple Threat Elimination,WWF Monday Night RAW #196 ,
617,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,01/31/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #196 ,
618,Steve Austin vs. Vader,01/31/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #196 ,
619,Crush vs. Goldust,01/31/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #196 ,
620,Ahmed Johnson & The Undertaker vs. Faarooq & Mankind,01/31/1997,World Wrestling Federation,No Holds Barred Tag Team,WWF Monday Night RAW #196 ,
621,Rocky Maivia vs. Savio Vega,01/25/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #4 ,
622,Crush vs. Sycho Sid,01/25/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #4 ,
623,Bret Hart vs. Mankind,01/25/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #4 ,
624,Steve Austin vs. Vader,01/21/1997,World Wrestling Federation,Singles,WWF Superstars #539 ,
625,Crush & Faarooq vs. Doug Furnas & Philip LaFon vs. Henry O. Godwinn & Phineas I. Godwinn vs. Owen Hart & The British Bulldog,01/21/1997,World Wrestling Federation,Four Way Tag Team,WWF Superstars #537 ,
626,Ahmed Johnson vs. Hunter Hearst Helmsley,01/21/1997,World Wrestling Federation,Singles,WWF Superstars #537 ,
627,Marc Mero vs. The Undertaker,01/21/1997,World Wrestling Federation,Singles,WWF Superstars #538 ,
628,Fuerza Guerrera & Heavy Metal vs. Hector Garza & Octagon,01/21/1997,World Wrestling Federation,Tag Team,WWF Superstars #539 ,
629,Steve Austin vs. The Undertaker,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #194 ,
630,Bart Gunn vs. Faarooq,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #194 ,
631,Ahmed Johnson vs. Crush,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #195 ,
632,Doug Furnas vs. The British Bulldog,01/20/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #195 ,
633,Henry O. Godwinn & Phineas I. Godwinn vs. Mankind & Vader,01/20/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #195 ,
634,Doug Furnas & Philip LaFon vs. Owen Hart & The British Bulldog,01/20/1997,World Wrestling Federation,Tag Team,WWF Monday Night RAW #194 ,***1/2
635,Goldust vs. Hunter Hearst Helmsley,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997 ,
636,Ahmed Johnson vs. Faarooq,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997 ,
637,The Undertaker vs. Vader,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997 ,
638,"Canek, Hector Garza & Perro Aguayo vs. Fuerza Guerrera, Heavy Metal & Jerry Estrada",01/19/1997,World Wrestling Federation,Six Man Tag Team,WWF Royal Rumble 1997 ,
639,Shawn Michaels vs. Sycho Sid,01/19/1997,World Wrestling Federation,Singles,WWF Royal Rumble 1997 ,
640,Ahmed Johnson vs. Bart Gunn vs. Bret Hart vs. Cibernetico vs. Crush vs. Diesel vs. Faarooq vs. Flash Funk vs. Goldust vs. Henry O. Godwinn vs. Hunter Hearst Helmsley vs. Jake Roberts vs. Jerry Lawler vs. Jesse Jammes vs. Latin Lover vs. Mankind vs. Marc Mero vs. Mil Mascaras vs. Owen Hart vs. Phineas I. Godwinn vs. Pierroth vs. Razor Ramon vs. Rocky Maivia vs. Savio Vega vs. Steve Austin vs. Terry Funk vs. The British Bulldog vs. The Sultan vs. The Undertaker vs. Vader,01/19/1997,World Wrestling Federation,Royal Rumble,WWF Royal Rumble 1997 ,***
641,Hunter Hearst Helmsley vs. Rocky Maivia,01/18/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #3 ,
642,Histeria & Mini Mankind vs. Mascarita Sagrada Jr. & Venum,01/18/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #3 ,
643,Goldust vs. Steve Austin,01/18/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #3 ,
644,Faarooq vs. Savio Vega,01/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #2 ,
645,Razor Ramon vs. Rocky Maivia,01/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #2 ,
646,Doug Furnas & Philip LaFon vs. Mosh & Thrasher,01/11/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #2 ,
647,Diesel vs. Marc Mero,01/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #2 ,
648,Goldust vs. The Sultan,01/04/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #1 ,
649,Mascarita Sagrada Jr. vs. Mini Vader,01/04/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night #1 ,
650,Henry O. Godwinn & Phineas I. Godwinn vs. Mother Smucker & Sister Angelica,01/04/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night #1 ,
651,Flash Funk vs. Hunter Hearst Helmsley,12/30/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #191 ,
652,Bret Hart & Savio Vega vs. Faarooq & Steve Austin,12/30/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #191 ,
653,Mankind vs. Owen Hart,12/30/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #192 ,
654,Diesel & Razor Ramon vs. Doug Furnas & Philip LaFon,12/30/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #192 ,
655,Bret Hart vs. Vader,12/30/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #192 ,
656,Goldust & Marc Mero vs. Hunter Hearst Helmsley & Jerry Lawler,12/30/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #193 ,
657,Rocky Maivia vs. The British Bulldog,12/30/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #193 ,
658,Crush vs. The Undertaker,12/30/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #193 ,
659,Savio Vega vs. Vader,12/17/1996,World Wrestling Federation,Singles,WWF Superstars #533 ,
660,Bret Hart vs. The Sultan,12/17/1996,World Wrestling Federation,Singles,WWF Superstars #535 ,
661,Freddie Joe Floyd vs. Hunter Hearst Helmsley,12/17/1996,World Wrestling Federation,Singles,WWF Superstars #534 ,
662,Cibernetico & Pierroth vs. Doug Furnas & Philip LaFon,12/17/1996,World Wrestling Federation,Tag Team,WWF Superstars #534 ,
663,Goldust vs. The Executioner,12/17/1996,World Wrestling Federation,Singles,WWF Superstars #535 ,
664,Jesse Jammes & Savio Vega vs. Owen Hart & The British Bulldog,12/16/1996,World Wrestling Federation,Tag Team,WWF Superstars #532 ,
665,Diesel & Razor Ramon vs. Henry O. Godwinn & Phineas I. Godwinn,12/16/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #189 ,
666,Hunter Hearst Helmsley vs. Marc Mero,12/16/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #190 ,
667,Rocky Maivia vs. Salvatore Sincere,12/16/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #190 ,
668,Bret Hart vs. Razor Ramon,12/16/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #190 ,
669,Mankind vs. Shawn Michaels,12/15/1996,World Wrestling Federation,Singles,WWF In Your House 12: It's Time ,
670,Flash Funk vs. Leif Cassidy,12/15/1996,World Wrestling Federation,Singles,WWF In Your House 12: It's Time ,
671,The Executioner vs. The Undertaker,12/15/1996,World Wrestling Federation,Armageddon Rules,WWF In Your House 12: It's Time ,
672,Diesel & Razor Ramon vs. Owen Hart & The British Bulldog,12/15/1996,World Wrestling Federation,Tag Team,WWF In Your House 12: It's Time ,
673,Bret Hart vs. Sycho Sid,12/15/1996,World Wrestling Federation,Singles,WWF In Your House 12: It's Time ,
674,Rocky Maivia vs. Salvatore Sincere,12/15/1996,World Wrestling Federation,Singles,WWF In Your House 12: It's Time ,
675,Hunter Hearst Helmsley vs. Marc Mero,12/15/1996,World Wrestling Federation,Singles,WWF In Your House 12: It's Time ,***1/4
676,Rocky Maivia vs. TL Hopper,11/19/1996,World Wrestling Federation,Singles,WWF Superstars #530 ,
677,Bart Gunn vs. Steve Austin,11/19/1996,World Wrestling Federation,Singles,WWF Superstars #528 ,
678,"Crush, Owen Hart & The British Bulldog vs. Jake Roberts, Marc Mero & Savio Vega",11/19/1996,World Wrestling Federation,Six Man Tag Team,WWF Superstars #529 ,
679,Goldust vs. Hunter Hearst Helmsley,11/19/1996,World Wrestling Federation,Singles,WWF Superstars #529 ,
680,Doug Furnas & Philip LaFon vs. Mosh & Thrasher,11/19/1996,World Wrestling Federation,Tag Team,WWF Superstars #530 ,
681,Bart Gunn vs. Hunter Hearst Helmsley,11/19/1996,World Wrestling Federation,Singles,WWF Superstars #530 ,
682,Faarooq vs. Freddie Joe Floyd,11/19/1996,World Wrestling Federation,Singles,WWF Superstars #531 ,
683,Crush vs. Savio Vega,11/19/1996,World Wrestling Federation,Singles,WWF Superstars #531 ,
684,Mankind vs. The Undertaker,11/18/1996,World Wrestling Federation,No Holds Barred,WWF Monday Night RAW #188 ,
685,Bret Hart vs. Owen Hart,11/18/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #186 ,
686,Mankind vs. Steve Austin,11/18/1996,World Wrestling Federation,No Holds Barred,WWF Monday Night RAW #185 ,
687,Faarooq vs. Savio Vega,11/18/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #185 ,
688,Bob Holly & Leif Cassidy vs. Doug Furnas & Philip LaFon,11/18/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #185 ,
689,Billy Gunn vs. Marc Mero,11/18/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #186 ,
690,Flash Funk vs. The Goon,11/18/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #187 ,
691,Jesse Jammes vs. Justin Bradshaw,11/18/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #187 ,
692,Billy Gunn & Hunter Hearst Helmsley vs. Jake Roberts & Marc Mero,11/18/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #187 ,
693,Bart Gunn vs. Goldust,11/18/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #188 ,
694,Jesse Jammes vs. Justin Bradshaw & Zebekiah,11/18/1996,World Wrestling Federation,Two On One Handicap,WWF Monday Night RAW #188 ,
695,"Diesel, Faarooq, Razor Ramon & Vader vs. Flash Funk, Jimmy Snuka, Savio Vega & Yokozuna",11/17/1996,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1996 ,
696,Mankind vs. The Undertaker,11/17/1996,World Wrestling Federation,Singles,WWF Survivor Series 1996 ,
697,"Crush, Goldust, Hunter Hearst Helmsley & Jerry Lawler vs. Jake Roberts, Marc Mero, Rocky Maivia & The Stalker",11/17/1996,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,WWF Survivor Series 1996 ,
698,Shawn Michaels vs. Sycho Sid,11/17/1996,World Wrestling Federation,Singles,WWF Survivor Series 1996 ,***3/4
699,"Doug Furnas, Henry O. Godwinn, Philip LaFon & Phineas I. Godwinn vs. Leif Cassidy, Marty Jannetty, Owen Hart & The British Bulldog",11/17/1996,World Wrestling Federation,Survivor Series Elimination,WWF Survivor Series 1996 ,***1/4
700,Bret Hart vs. Steve Austin,11/17/1996,World Wrestling Federation,Singles,WWF Survivor Series 1996 ,****1/2
701,Salvatore Sincere vs. Shawn Michaels,10/22/1996,World Wrestling Federation,Singles,WWF Superstars #526 ,
702,Bart Gunn & Billy Gunn vs. Leif Cassidy & Marty Jannetty,10/22/1996,World Wrestling Federation,Tag Team,WWF Superstars #524 ,
703,Bart Gunn & Freddie Joe Floyd vs. Billy Gunn & TL Hopper,10/22/1996,World Wrestling Federation,Tag Team,WWF Superstars #526 ,
704,Billy Gunn vs. Bob Holly,10/22/1996,World Wrestling Federation,Singles,WWF Superstars #527 ,
705,Shawn Michaels vs. The British Bulldog,10/21/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #182 ,
706,Owen Hart vs. Sycho Sid,10/21/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #181 ,
707,Hunter Hearst Helmsley vs. Marc Mero,10/21/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #181 ,
708,Goldust vs. The Stalker,10/21/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #183 ,
709,Marc Mero vs. Razor Ramon,10/21/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #183 ,
710,Owen Hart & The British Bulldog vs. Shawn Michaels & Sycho Sid,10/21/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #184 ,
711,Bob Holly vs. Steve Austin,10/21/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #184 ,
712,Sycho Sid vs. Vader,10/20/1996,World Wrestling Federation,Singles,WWF In Your House 11: Buried Alive ,
713,Bart Gunn & Billy Gunn vs. Owen Hart & The British Bulldog,10/20/1996,World Wrestling Federation,Tag Team,WWF In Your House 11: Buried Alive ,
714,Goldust vs. Marc Mero,10/20/1996,World Wrestling Federation,Singles,WWF In Your House 11: Buried Alive ,
715,Mankind vs. The Undertaker,10/20/1996,World Wrestling Federation,Buried Alive,WWF In Your House 11: Buried Alive ,***3/4
716,Hunter Hearst Helmsley vs. Steve Austin,10/20/1996,World Wrestling Federation,Singles,WWF In Your House 11: Buried Alive ,***1/4
717,Justin Bradshaw vs. Shawn Michaels,09/24/1996,World Wrestling Federation,Singles,WWF Superstars #520 ,
718,Steve Austin vs. Zip,09/24/1996,World Wrestling Federation,Singles,WWF Superstars #521 ,
719,Jake Roberts vs. Salvatore Sincere,09/24/1996,World Wrestling Federation,Singles,WWF Superstars #521 ,
720,Leif Cassidy vs. Marc Mero,09/24/1996,World Wrestling Federation,Singles,WWF Superstars #521 ,
721,Henry O. Godwinn & Phineas I. Godwinn vs. Owen Hart & The British Bulldog,09/24/1996,World Wrestling Federation,Tag Team,WWF Superstars #522 ,
722,Bob Holly vs. Razor Ramon,09/24/1996,World Wrestling Federation,Singles,WWF Superstars #523 ,
723,Shawn Michaels vs. Steve Austin,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #180 ,
724,Jake Roberts vs. Steve Austin,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #178 ,
725,Razor Ramon vs. Savio Vega,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #178 ,
726,Jim Cornette & Vader vs. Jose Lothario & Shawn Michaels,09/23/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #178 ,
727,Hunter Hearst Helmsley vs. The Stalker,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #177 ,
728,Diesel vs. Marc Mero,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #179 ,
729,Bart Gunn & Billy Gunn vs. Leif Cassidy & Marty Jannetty,09/23/1996,World Wrestling Federation,Tag Team,WWF Monday Night RAW #179 ,
730,Goldust vs. Sycho Sid,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #179 ,
731,Faarooq vs. Marc Mero,09/23/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #177 ,**3/4
732,Justin Bradshaw vs. Savio Vega,09/22/1996,World Wrestling Federation,Caribbean Strap,WWF In Your House 10: Mind Games ,
733,Bart Gunn & Billy Gunn vs. Owen Hart & The British Bulldog,09/22/1996,World Wrestling Federation,Tag Team,WWF In Your House 10: Mind Games ,
734,Jerry Lawler vs. Mark Henry,09/22/1996,World Wrestling Federation,Singles,WWF In Your House 10: Mind Games ,
735,Goldust vs. The Undertaker,09/22/1996,World Wrestling Federation,Final Curtain,WWF In Your House 10: Mind Games ,
736,Marty Jannetty vs. Savio Vega,09/22/1996,World Wrestling Federation,Singles,WWF In Your House 10: Mind Games ,
737,Mankind vs. Shawn Michaels,09/22/1996,World Wrestling Federation,Singles,WWF In Your House 10: Mind Games ,****3/4
738,The Sultan vs. Yokozuna,09/14/1996,World Wrestling Federation,Singles,WWF Sun City SuperBowl ,
739,Bret Hart vs. Steve Austin,09/14/1996,World Wrestling Federation,Singles,WWF Sun City SuperBowl ,
740,Hunter Hearst Helmsley vs. Savio Vega,08/20/1996,World Wrestling Federation,Singles,WWF Superstars #518 ,
741,Savio Vega vs. Vader,08/20/1996,World Wrestling Federation,Singles,WWF Superstars #519 ,
742,Goldust vs. Shawn Michaels,08/19/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #174 - RAW Championship Friday ,
743,Faarooq vs. Savio Vega,08/19/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #175 ,
744,Salvatore Sincere vs. The Undertaker,08/19/1996,World Wrestling Federation,Singles,WWF Monday Night RAW #175 ,
