,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
32,Kane vs. The Big Show,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999,Kane,The Big Show,n/a,n/a,n/a,n/a,n/a,n/a
33,Edge vs. Jeff Jarrett,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999,Edge,Jeff Jarrett,n/a,n/a,n/a,n/a,n/a,n/a
34,"Bradshaw & Faarooq vs. Jeff Hardy, Matt Hardy & Michael Hayes",07/25/1999,World Wrestling Federation,Three On Two Handicap No Disqualification,WWF Fully Loaded 1999,Bradshaw,Faarooq,Jeff Hardy,Matt Hardy,Michael Hayes,n/a,n/a,n/a
35,D-Lo Brown vs. Mideon,07/25/1999,World Wrestling Federation,Singles,WWF Fully Loaded 1999,D-Lo Brown,Mideon,n/a,n/a,n/a,n/a,n/a,n/a
36,Chyna & Mr. Ass vs. The Road Dogg & X-Pac,07/25/1999,World Wrestling Federation,Tag Team,WWF Fully Loaded 1999,Chyna,Mr. Ass,The Road Dogg,X-Pac,n/a,n/a,n/a,n/a
37,The Rock vs. Triple H,07/25/1999,World Wrestling Federation,Strap,WWF Fully Loaded 1999,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
38,Steve Austin vs. The Undertaker,07/25/1999,World Wrestling Federation,First Blood,WWF Fully Loaded 1999,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
39,Mr. Ass vs. The Rock,07/13/1999,World Wrestling Federation,Singles,WWF RAW is WAR #321,Mr. Ass,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
40,Edge vs. Gangrel,07/12/1999,World Wrestling Federation,Singles,WWF RAW is WAR #320,Edge,Gangrel,n/a,n/a,n/a,n/a,n/a,n/a
41,"Chyna, Mr. Ass & Triple H vs. The Road Dogg, The Rock & X-Pac",07/12/1999,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #320,Chyna,Mr. Ass,Triple H,The Road Dogg,The Rock,X-Pac,n/a,n/a
42,Kane & The Undertaker vs. Steve Austin & The Big Show,07/12/1999,World Wrestling Federation,Tag Team,WWF RAW is WAR #320,Kane,The Undertaker,Steve Austin,The Big Show,n/a,n/a,n/a,n/a
43,The Rock vs. Triple H,06/29/1999,World Wrestling Federation,Steel Cage,WWF RAW is WAR #319,The Rock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
44,Al Snow vs. D-Lo Brown,06/29/1999,World Wrestling Federation,Singles,WWF RAW is WAR #319,Al Snow,D-Lo Brown,n/a,n/a,n/a,n/a,n/a,n/a
45,Jeff Jarrett vs. X-Pac,06/28/1999,World Wrestling Federation,Singles,WWF RAW is WAR #318,Jeff Jarrett,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
46,Steve Austin vs. The Undertaker,06/28/1999,World Wrestling Federation,Singles,WWF RAW is WAR #318,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
47,Shane McMahon & Vince McMahon vs. Steve Austin,06/27/1999,World Wrestling Federation,Two On One Handicap Ladder,WWF King Of The Ring 1999,Shane McMahon,Vince McMahon,Steve Austin,n/a,n/a,n/a,n/a,n/a
48,The Rock vs. The Undertaker,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999,The Rock,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
49,Kane vs. The Big Show,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999,Kane,The Big Show,n/a,n/a,n/a,n/a,n/a,n/a
50,Chyna vs. The Road Dogg,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999,Chyna,The Road Dogg,n/a,n/a,n/a,n/a,n/a,n/a
51,Kane vs. Mr. Ass,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999,Kane,Mr. Ass,n/a,n/a,n/a,n/a,n/a,n/a
52,Mr. Ass vs. X-Pac,06/27/1999,World Wrestling Federation,Singles,WWF King Of The Ring 1999,Mr. Ass,X-Pac,n/a,n/a,n/a,n/a,n/a,n/a
53,Steve Austin vs. The Big Bossman,06/21/1999,World Wrestling Federation,Singles,WWF RAW is WAR #317,Steve Austin,The Big Bossman,n/a,n/a,n/a,n/a,n/a,n/a
54,The Undertaker vs. Triple H,06/21/1999,World Wrestling Federation,Singles,WWF RAW is WAR #317,The Undertaker,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
55,Kane vs. Ken Shamrock vs. Mr. Ass vs. The Big Show,06/20/1999,World Wrestling Federation,Fatal Four Way Elimination,WWF Sunday Night Heat #47,Kane,Ken Shamrock,Mr. Ass,The Big Show,n/a,n/a,n/a,n/a
56,Chyna vs. Hardcore Holly vs. The Road Dogg vs. X-Pac,06/20/1999,World Wrestling Federation,Fatal Four Way Elimination,WWF Sunday Night Heat #47,Chyna,Hardcore Holly,The Road Dogg,X-Pac,n/a,n/a,n/a,n/a
57,Bradshaw & Faarooq vs. Kane,06/08/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #316,Bradshaw,Faarooq,Kane,n/a,n/a,n/a,n/a,n/a
58,The Rock vs. The Undertaker & Triple H,06/08/1999,World Wrestling Federation,Two On One Handicap,WWF RAW is WAR #316,The Rock,The Undertaker,Triple H,n/a,n/a,n/a,n/a,n/a
59,The Big Show vs. The Undertaker,06/07/1999,World Wrestling Federation,Singles,WWF RAW is WAR #315,The Big Show,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
60,Mankind vs. Triple H,05/25/1999,World Wrestling Federation,Hardcore,WWF RAW is WAR #314,Mankind,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
61,Steve Austin vs. The Undertaker,05/25/1999,World Wrestling Federation,Singles,WWF RAW is WAR #314,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
62,D-Lo Brown & Mark Henry vs. Droz & Prince Albert,05/25/1999,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,D-Lo Brown,Mark Henry,Droz,Prince Albert,n/a,n/a,n/a,n/a
