,Match,Date,Promotion,Match Type,Event,Par1,Par2,Par3,Par4,Par5,Par6,Par7,Par8
382,Butterbean vs. Marc Mero,12/07/1997,World Wrestling Federation,Four Rounds Boxing,WWF In Your House 19: D-Generation X,Butterbean,Marc Mero,n/a,n/a,n/a,n/a,n/a,n/a
383,Steve Austin vs. The Rock,12/07/1997,World Wrestling Federation,Singles,WWF In Your House 19: D-Generation X,Steve Austin,The Rock,n/a,n/a,n/a,n/a,n/a,n/a
384,Ken Shamrock vs. Shawn Michaels,12/07/1997,World Wrestling Federation,Singles,WWF In Your House 19: D-Generation X,Ken Shamrock,Shawn Michaels,n/a,n/a,n/a,n/a,n/a,n/a
385,Brian Christopher vs. Taka Michinoku,12/07/1997,World Wrestling Federation,Singles,WWF In Your House 19: D-Generation X,Brian Christopher,Taka Michinoku,n/a,n/a,n/a,n/a,n/a,n/a
386,"8-Ball, Chainz & Skull vs. Jesus Castillo, Jose Estrada & Miguel Perez",12/07/1997,World Wrestling Federation,Six Man Tag Team,WWF In Your House 19: D-Generation X,8-Ball,Chainz,Skull,Jesus Castillo,Jose Estrada,Miguel Perez,n/a,n/a
387,Billy Gunn & The Road Dogg vs. Road Warrior Animal & Road Warrior Hawk,12/07/1997,World Wrestling Federation,Tag Team,WWF In Your House 19: D-Generation X,Billy Gunn,The Road Dogg,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
388,Sgt. Slaughter vs. Triple H,12/07/1997,World Wrestling Federation,Boot Camp,WWF In Your House 19: D-Generation X,Sgt. Slaughter,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
389,Jeff Jarrett vs. The Undertaker,12/07/1997,World Wrestling Federation,Singles,WWF In Your House 19: D-Generation X,Jeff Jarrett,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
390,Aguila vs. Taka Michinoku,11/25/1997,World Wrestling Federation,Singles,WWF RAW is WAR #236,Aguila,Taka Michinoku,n/a,n/a,n/a,n/a,n/a,n/a
391,Rocky Maivia vs. Vader,11/25/1997,World Wrestling Federation,Singles,WWF RAW is WAR #236,Rocky Maivia,Vader,n/a,n/a,n/a,n/a,n/a,n/a
392,Flash Funk vs. Taka Michinoku,11/24/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Flash Funk,Taka Michinoku,n/a,n/a,n/a,n/a,n/a,n/a
393,Billy Gunn & The Road Dogg vs. Road Warrior Animal & Road Warrior Hawk,11/24/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #235,Billy Gunn,The Road Dogg,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
394,Ken Shamrock vs. Savio Vega,11/24/1997,World Wrestling Federation,Singles,WWF RAW is WAR #235,Ken Shamrock,Savio Vega,n/a,n/a,n/a,n/a,n/a,n/a
395,Shawn Michaels & Triple H vs. Steve Austin & The Undertaker,11/15/1997,World Wrestling Federation,Tag Team,WWF House Show,Shawn Michaels,Triple H,Steve Austin,The Undertaker,n/a,n/a,n/a,n/a
396,Eric Shelley vs. Scott Taylor,11/11/1997,World Wrestling Federation,Singles,WWF RAW is WAR #234,Eric Shelley,Scott Taylor,n/a,n/a,n/a,n/a,n/a,n/a
397,Devon Storm vs. Taka Michinoku,11/10/1997,World Wrestling Federation,Singles,WWF RAW is WAR #233,Devon Storm,Taka Michinoku,n/a,n/a,n/a,n/a,n/a,n/a
398,Ken Shamrock vs. Triple H,11/10/1997,World Wrestling Federation,Singles,WWF RAW is WAR #233,Ken Shamrock,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
399,"Doug Furnas, Jim Neidhart, Philip LaFon & The British Bulldog vs. Goldust, Marc Mero, Steve Blackman & Vader",11/09/1997,World Wrestling Federation,Survivor Series Elimination,"WWF Survivor Series 1997 - ""Gang Rulz""",Doug Furnas,Jim Neidhart,Philip LaFon,The British Bulldog,Goldust,Marc Mero,Steve Blackman,Vader
400,Kane vs. Mankind,11/09/1997,World Wrestling Federation,Singles,"WWF Survivor Series 1997 - ""Gang Rulz""",Kane,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
401,"Billy Gunn, Henry O. Godwinn, Phineas I. Godwinn & The Road Dogg vs. Blackjack Bradshaw, Blackjack Windham, Mosh & Thrasher",11/09/1997,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,"WWF Survivor Series 1997 - ""Gang Rulz""",Billy Gunn,Henry O. Godwinn,Phineas I. Godwinn,The Road Dogg,Blackjack Bradshaw,Blackjack Windham,Mosh,Thrasher
402,"8-Ball, Chainz, Crush & Skull vs. Jackyl, Recon, Sniper & The Interrogator",11/09/1997,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,"WWF Survivor Series 1997 - ""Gang Rulz""",8-Ball,Chainz,Crush,Skull,Jackyl,Recon,Sniper,The Interrogator
403,"Ahmed Johnson, Ken Shamrock, Road Warrior Animal & Road Warrior Hawk vs. D-Lo Brown, Faarooq, Kama Mustafa & The Rock",11/09/1997,World Wrestling Federation,Survivor Series Elimination Eight Man Tag Team,"WWF Survivor Series 1997 - ""Gang Rulz""",Ahmed Johnson,Ken Shamrock,Road Warrior Animal,Road Warrior Hawk,D-Lo Brown,Faarooq,Kama Mustafa,The Rock
404,Bret Hart vs. Shawn Michaels,11/09/1997,World Wrestling Federation,Singles,"WWF Survivor Series 1997 - ""Gang Rulz""",Bret Hart,Shawn Michaels,n/a,n/a,n/a,n/a,n/a,n/a
405,El Mosco & Pantera vs. Scott Taylor & Taka Michinoku,11/03/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,El Mosco,Pantera,Scott Taylor,Taka Michinoku,n/a,n/a,n/a,n/a
406,Aguila vs. Super Loco,11/03/1997,World Wrestling Federation,Singles,WWF RAW is WAR #232,Aguila,Super Loco,n/a,n/a,n/a,n/a,n/a,n/a
407,Billy Gunn & The Road Dogg vs. Jesus Castillo & Jose Estrada,11/03/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #232,Billy Gunn,The Road Dogg,Jesus Castillo,Jose Estrada,n/a,n/a,n/a,n/a
408,Ken Shamrock vs. Shawn Michaels,11/03/1997,World Wrestling Federation,Singles,WWF RAW is WAR #232,Ken Shamrock,Shawn Michaels,n/a,n/a,n/a,n/a,n/a,n/a
409,Hunter Hearst Helmsley vs. Marc Mero,10/31/1997,World Wrestling Federation,Singles,WWF Monday Night RAW #196,Hunter Hearst Helmsley,Marc Mero,n/a,n/a,n/a,n/a,n/a,n/a
410,Brian Christopher & Yoshihiro Tajiri vs. Scott Taylor & Taka Michinoku,10/21/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Brian Christopher,Yoshihiro Tajiri,Scott Taylor,Taka Michinoku,n/a,n/a,n/a,n/a
411,Bret Hart vs. Ken Shamrock,10/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #231,Bret Hart,Ken Shamrock,n/a,n/a,n/a,n/a,n/a,n/a
412,Goldust vs. Hunter Hearst Helmsley,10/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #231,Goldust,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
413,Ahmed Johnson vs. Owen Hart,10/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #231,Ahmed Johnson,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
414,Owen Hart vs. Shawn Michaels,10/20/1997,World Wrestling Federation,Singles,WWF RAW is WAR #230,Owen Hart,Shawn Michaels,n/a,n/a,n/a,n/a,n/a,n/a
415,Ahmed Johnson & Ken Shamrock vs. Kama Mustafa & Rocky Maivia,10/20/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #230,Ahmed Johnson,Ken Shamrock,Kama Mustafa,Rocky Maivia,n/a,n/a,n/a,n/a
416,Bret Hart vs. Faarooq,10/20/1997,World Wrestling Federation,Singles,WWF RAW is WAR #230,Bret Hart,Faarooq,n/a,n/a,n/a,n/a,n/a,n/a
417,Henry O. Godwinn & Phineas I. Godwinn vs. Road Warrior Animal & Road Warrior Hawk,10/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #229,Henry O. Godwinn,Phineas I. Godwinn,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
418,Brian Christopher vs. Tajiri,10/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #229,Brian Christopher,Tajiri,n/a,n/a,n/a,n/a,n/a,n/a
419,Bret Hart vs. Triple H,10/06/1997,World Wrestling Federation,Singles,WWF RAW is WAR #228,Bret Hart,Triple H,n/a,n/a,n/a,n/a,n/a,n/a
420,Faarooq vs. Owen Hart,10/05/1997,World Wrestling Federation,Singles,WWF In Your House 18: Badd Blood,Faarooq,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
421,"D-Lo Brown, Kama Mustafa & Rocky Maivia vs. Road Warrior Animal & Road Warrior Hawk",10/05/1997,World Wrestling Federation,Three On Two Handicap,WWF In Your House 18: Badd Blood,D-Lo Brown,Kama Mustafa,Rocky Maivia,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a
422,Max Mini & Nova vs. Mosaic & Tarantula,10/05/1997,World Wrestling Federation,Tag Team,WWF In Your House 18: Badd Blood,Max Mini,Nova,Mosaic,Tarantula,n/a,n/a,n/a,n/a
423,Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher,10/05/1997,World Wrestling Federation,Tag Team,WWF In Your House 18: Badd Blood,Henry O. Godwinn,Phineas I. Godwinn,Mosh,Thrasher,n/a,n/a,n/a,n/a
424,"8-Ball, Chainz, Crush & Skull vs. Jesus Castillo, Jose Estrada, Miguel Perez & Savio Vega",10/05/1997,World Wrestling Federation,Eight Man Tag Team,WWF In Your House 18: Badd Blood,8-Ball,Chainz,Crush,Skull,Jesus Castillo,Jose Estrada,Miguel Perez,Savio Vega
425,Bret Hart & The British Bulldog vs. The Patriot & Vader,10/05/1997,World Wrestling Federation,Tag Team Flag,WWF In Your House 18: Badd Blood,Bret Hart,The British Bulldog,The Patriot,Vader,n/a,n/a,n/a,n/a
426,Shawn Michaels vs. The Undertaker,10/05/1997,World Wrestling Federation,Hell In A Cell,WWF In Your House 18: Badd Blood,Shawn Michaels,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
427,The British Bulldog vs. Vader,09/23/1997,World Wrestling Federation,Singles,WWF RAW is WAR #227,The British Bulldog,Vader,n/a,n/a,n/a,n/a,n/a,n/a
428,Goldust vs. The Sultan,09/23/1997,World Wrestling Federation,Singles,WWF RAW is WAR #227,Goldust,The Sultan,n/a,n/a,n/a,n/a,n/a,n/a
429,Jesus Castillo & Jose Estrada vs. Mosh & Thrasher,09/23/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #227,Jesus Castillo,Jose Estrada,Mosh,Thrasher,n/a,n/a,n/a,n/a
430,Bret Hart vs. Goldust,09/22/1997,World Wrestling Federation,Singles,WWF RAW is WAR #226,Bret Hart,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
431,Brian Pillman vs. Owen Hart,09/22/1997,World Wrestling Federation,Singles,WWF RAW is WAR #226,Brian Pillman,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
432,Cactus Jack vs. Hunter Hearst Helmsley,09/22/1997,World Wrestling Federation,Falls Count Anywhere,WWF RAW is WAR #226,Cactus Jack,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
433,Shawn Michaels vs. The British Bulldog,09/20/1997,World Wrestling Federation,Singles,WWF One Night Only,Shawn Michaels,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
434,Bret Hart vs. The Undertaker,09/20/1997,World Wrestling Federation,Singles,WWF One Night Only,Bret Hart,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
435,Dude Love vs. Hunter Hearst Helmsley,09/20/1997,World Wrestling Federation,Singles,WWF One Night Only,Dude Love,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
436,Miguel Perez & Savio Vega vs. Mosh & Thrasher,09/20/1997,World Wrestling Federation,Tag Team,WWF One Night Only,Miguel Perez,Savio Vega,Mosh,Thrasher,n/a,n/a,n/a,n/a
437,Owen Hart vs. Vader,09/20/1997,World Wrestling Federation,Singles,WWF One Night Only,Owen Hart,Vader,n/a,n/a,n/a,n/a,n/a,n/a
438,Flash Funk vs. The Patriot,09/20/1997,World Wrestling Federation,Singles,WWF One Night Only,Flash Funk,The Patriot,n/a,n/a,n/a,n/a,n/a,n/a
439,Henry O. Godwinn & Phineas I. Godwinn vs. Road Warrior Animal & Road Warrior Hawk,09/20/1997,World Wrestling Federation,Tag Team,WWF One Night Only,Henry O. Godwinn,Phineas I. Godwinn,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
440,El Torito & Piratita Morgan vs. Max Mini & Mr. Lucky,09/09/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #225,El Torito,Piratita Morgan,Max Mini,Mr. Lucky,n/a,n/a,n/a,n/a
441,Owen Hart vs. The Patriot,09/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #225,Owen Hart,The Patriot,n/a,n/a,n/a,n/a,n/a,n/a
442,Bret Hart & The British Bulldog vs. Mosh & Thrasher,09/09/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #225,Bret Hart,The British Bulldog,Mosh,Thrasher,n/a,n/a,n/a,n/a
443,Hunter Hearst Helmsley vs. Savio Vega vs. The Patriot,09/08/1997,World Wrestling Federation,Triple Threat,WWF RAW is WAR #224,Hunter Hearst Helmsley,Savio Vega,The Patriot,n/a,n/a,n/a,n/a,n/a
444,Bret Hart vs. Vader,09/08/1997,World Wrestling Federation,No Holds Barred,WWF RAW is WAR #224,Bret Hart,Vader,n/a,n/a,n/a,n/a,n/a,n/a
445,Brian Pillman vs. Goldust,09/07/1997,World Wrestling Federation,Indecent Proposal,WWF In Your House 17: Ground Zero,Brian Pillman,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
446,Crush vs. Faarooq vs. Savio Vega,09/07/1997,World Wrestling Federation,Triple Threat,WWF In Your House 17: Ground Zero,Crush,Faarooq,Savio Vega,n/a,n/a,n/a,n/a,n/a
447,El Torito vs. Max Mini,09/07/1997,World Wrestling Federation,Singles,WWF In Your House 17: Ground Zero,El Torito,Max Mini,n/a,n/a,n/a,n/a,n/a,n/a
448,Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher vs. Owen Hart & The British Bulldog vs. Road Warrior Animal & Road Warrior Hawk,09/07/1997,World Wrestling Federation,Four Way Elimination Tag Team,WWF In Your House 17: Ground Zero,Henry O. Godwinn,Phineas I. Godwinn,Mosh,Thrasher,Owen Hart,The British Bulldog,Road Warrior Animal,Road Warrior Hawk
449,Shawn Michaels vs. The Undertaker,09/07/1997,World Wrestling Federation,Singles,WWF In Your House 17: Ground Zero,Shawn Michaels,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
450,Bret Hart vs. The Patriot,09/07/1997,World Wrestling Federation,Singles,WWF In Your House 17: Ground Zero,Bret Hart,The Patriot,n/a,n/a,n/a,n/a,n/a,n/a
451,Bret Hart vs. Vader,08/23/1997,World Wrestling Federation,Singles,WWF Friday Night's Main Event,Bret Hart,Vader,n/a,n/a,n/a,n/a,n/a,n/a
452,Road Warrior Hawk vs. The British Bulldog,08/23/1997,World Wrestling Federation,Singles,WWF Friday Night's Main Event,Road Warrior Hawk,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
453,Mosh & Thrasher vs. Recon & Sniper,08/23/1997,World Wrestling Federation,Tag Team,WWF Friday Night's Main Event,Mosh,Thrasher,Recon,Sniper,n/a,n/a,n/a,n/a
454,Owen Hart vs. The Patriot,08/23/1997,World Wrestling Federation,Singles,WWF Friday Night's Main Event,Owen Hart,The Patriot,n/a,n/a,n/a,n/a,n/a,n/a
455,Dude Love vs. The British Bulldog,08/23/1997,World Wrestling Federation,Singles,WWF Friday Night's Main Event,Dude Love,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
456,Ken Shamrock vs. Salvatore Sincere,08/23/1997,World Wrestling Federation,Singles,WWF Friday Night's Main Event,Ken Shamrock,Salvatore Sincere,n/a,n/a,n/a,n/a,n/a,n/a
457,Jerry Lynn vs. Taka Michinoku,08/23/1997,World Wrestling Federation,Singles,WWF Friday Night's Main Event,Jerry Lynn,Taka Michinoku,n/a,n/a,n/a,n/a,n/a,n/a
458,Dude Love & Goldust vs. Owen Hart & The British Bulldog,08/18/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Dude Love,Goldust,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
459,Hunter Hearst Helmsley & Shawn Michaels vs. Mankind & The Undertaker,08/18/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #223,Hunter Hearst Helmsley,Shawn Michaels,Mankind,The Undertaker,n/a,n/a,n/a,n/a
460,Hunter Hearst Helmsley vs. Vader,08/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Hunter Hearst Helmsley,Vader,n/a,n/a,n/a,n/a,n/a,n/a
461,Goldust vs. Owen Hart,08/11/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Goldust,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
462,8-Ball & Skull vs. D-Lo Brown & Kama Mustafa,08/11/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,8-Ball,Skull,D-Lo Brown,Kama Mustafa,n/a,n/a,n/a,n/a
463,Ken Shamrock & The Patriot vs. Owen Hart & The British Bulldog,08/11/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #222,Ken Shamrock,The Patriot,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
464,Mankind vs. Shawn Michaels,08/11/1997,World Wrestling Federation,Singles,WWF RAW is WAR #222,Mankind,Shawn Michaels,n/a,n/a,n/a,n/a,n/a,n/a
465,Ace Darling vs. Devon Storm,08/04/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Ace Darling,Devon Storm,n/a,n/a,n/a,n/a,n/a,n/a
466,Dude Love vs. Owen Hart,08/04/1997,World Wrestling Federation,Singles,WWF RAW is WAR #221,Dude Love,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
467,Ken Shamrock vs. The British Bulldog,08/03/1997,World Wrestling Federation,Singles,"WWF SummerSlam 1997 - ""Hart & Soul""",Ken Shamrock,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
468,Owen Hart vs. Steve Austin,08/03/1997,World Wrestling Federation,Singles,"WWF SummerSlam 1997 - ""Hart & Soul""",Owen Hart,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
469,Bret Hart vs. The Undertaker,08/03/1997,World Wrestling Federation,Singles,"WWF SummerSlam 1997 - ""Hart & Soul""",Bret Hart,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
470,Hunter Hearst Helmsley vs. Mankind,08/03/1997,World Wrestling Federation,Steel Cage,"WWF SummerSlam 1997 - ""Hart & Soul""",Hunter Hearst Helmsley,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
471,Brian Pillman vs. Goldust,08/03/1997,World Wrestling Federation,Singles,"WWF SummerSlam 1997 - ""Hart & Soul""",Brian Pillman,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
472,Henry O. Godwinn & Phineas I. Godwinn vs. Road Warrior Animal & Road Warrior Hawk,08/03/1997,World Wrestling Federation,Tag Team,"WWF SummerSlam 1997 - ""Hart & Soul""",Henry O. Godwinn,Phineas I. Godwinn,Road Warrior Animal,Road Warrior Hawk,n/a,n/a,n/a,n/a
473,"8-Ball, Chainz, Crush & Skull vs. Jesus Castillo, Jose Estrada, Miguel Perez & Savio Vega",08/03/1997,World Wrestling Federation,Eight Man Tag Team,"WWF SummerSlam 1997 - ""Hart & Soul""",8-Ball,Chainz,Crush,Skull,Jesus Castillo,Jose Estrada,Miguel Perez,Savio Vega
474,Blackjack Bradshaw & Blackjack Windham vs. Owen Hart & The British Bulldog,07/28/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Blackjack Bradshaw,Blackjack Windham,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
475,Hunter Hearst Helmsley vs. Jesse Jammes,07/28/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Hunter Hearst Helmsley,Jesse Jammes,n/a,n/a,n/a,n/a,n/a,n/a
476,Bret Hart vs. The Patriot,07/28/1997,World Wrestling Federation,Singles,WWF RAW is WAR #220,Bret Hart,The Patriot,n/a,n/a,n/a,n/a,n/a,n/a
477,Mankind vs. Owen Hart,07/21/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Mankind,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
478,Ken Shamrock vs. Vader,07/21/1997,World Wrestling Federation,Singles,WWF RAW is WAR #219,Ken Shamrock,Vader,n/a,n/a,n/a,n/a,n/a,n/a
479,Blackjack Bradshaw & Blackjack Windham vs. Henry O. Godwinn & Phineas I. Godwinn vs. Mosh & Thrasher,07/21/1997,World Wrestling Federation,Three Way Tag Team,WWF RAW is WAR #219,Blackjack Bradshaw,Blackjack Windham,Henry O. Godwinn,Phineas I. Godwinn,Mosh,Thrasher,n/a,n/a
480,"Bret Hart, Owen Hart & The British Bulldog vs. Dude Love, Steve Austin & The Undertaker",07/21/1997,World Wrestling Federation,Flag Six Man Tag Team,WWF RAW is WAR #219,Bret Hart,Owen Hart,The British Bulldog,Dude Love,Steve Austin,The Undertaker,n/a,n/a
481,Dude Love & Steve Austin vs. Owen Hart & The British Bulldog,07/14/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #218,Dude Love,Steve Austin,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
482,Flash Funk vs. Owen Hart,07/07/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Flash Funk,Owen Hart,n/a,n/a,n/a,n/a,n/a,n/a
483,D-Lo Brown & Faarooq vs. Owen Hart & The British Bulldog,07/07/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #217,D-Lo Brown,Faarooq,Owen Hart,The British Bulldog,n/a,n/a,n/a,n/a
484,Bret Hart vs. Goldust,07/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #217,Bret Hart,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
485,Taka Michinoku vs. The Great Sasuke,07/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #217,Taka Michinoku,The Great Sasuke,n/a,n/a,n/a,n/a,n/a,n/a
486,Hunter Hearst Helmsley vs. Steve Austin,07/07/1997,World Wrestling Federation,Singles,WWF RAW is WAR #217,Hunter Hearst Helmsley,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
487,Hunter Hearst Helmsley vs. Mankind,07/06/1997,World Wrestling Federation,Singles,WWF In Your House 16: Canadian Stampede,Hunter Hearst Helmsley,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
488,Blackjack Bradshaw & Blackjack Windham vs. Henry O. Godwinn & Phineas I. Godwinn,07/06/1997,World Wrestling Federation,Tag Team,WWF In Your House 16: Canadian Stampede,Blackjack Bradshaw,Blackjack Windham,Henry O. Godwinn,Phineas I. Godwinn,n/a,n/a,n/a,n/a
489,The Undertaker vs. Vader,07/06/1997,World Wrestling Federation,Singles,WWF In Your House 16: Canadian Stampede,The Undertaker,Vader,n/a,n/a,n/a,n/a,n/a,n/a
490,Taka Michinoku vs. The Great Sasuke,07/06/1997,World Wrestling Federation,Singles,WWF In Your House 16: Canadian Stampede,Taka Michinoku,The Great Sasuke,n/a,n/a,n/a,n/a,n/a,n/a
491,Brian Pillman vs. Mankind,06/30/1997,World Wrestling Federation,Singles,WWF RAW is WAR #216,Brian Pillman,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
492,Jim Neidhart vs. Steve Austin,06/30/1997,World Wrestling Federation,Singles,WWF RAW is WAR #216,Jim Neidhart,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
493,D-Lo Brown & Faarooq vs. The Undertaker & Vader,06/23/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #215,D-Lo Brown,Faarooq,The Undertaker,Vader,n/a,n/a,n/a,n/a
494,Goldust vs. Hunter Hearst Helmsley vs. Owen Hart,06/23/1997,World Wrestling Federation,Triple Threat,WWF RAW is WAR #215,Goldust,Hunter Hearst Helmsley,Owen Hart,n/a,n/a,n/a,n/a,n/a
495,Mankind vs. Rockabilly,06/16/1997,World Wrestling Federation,Singles,WWF Shotgun Saturday Night,Mankind,Rockabilly,n/a,n/a,n/a,n/a,n/a,n/a
496,Brian Pillman vs. Steve Austin,06/16/1997,World Wrestling Federation,Singles,WWF RAW is WAR #214,Brian Pillman,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
497,Ahmed Johnson & The Undertaker vs. Faarooq & Kama Mustafa,06/16/1997,World Wrestling Federation,Tag Team,WWF RAW is WAR #214,Ahmed Johnson,The Undertaker,Faarooq,Kama Mustafa,n/a,n/a,n/a,n/a
498,Jerry Lawler & Rob Van Dam vs. Mosh & Thrasher,06/09/1997,World Wrestling Federation,Tag Team,WWF Shotgun Saturday Night,Jerry Lawler,Rob Van Dam,Mosh,Thrasher,n/a,n/a,n/a,n/a
499,"Ahmed Johnson, Road Warrior Animal & Road Warrior Hawk vs. Crush, Faarooq & Savio Vega",06/09/1997,World Wrestling Federation,Six Man Tag Team,WWF RAW is WAR #213,Ahmed Johnson,Road Warrior Animal,Road Warrior Hawk,Crush,Faarooq,Savio Vega,n/a,n/a
500,Goldust vs. The British Bulldog,06/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #213,Goldust,The British Bulldog,n/a,n/a,n/a,n/a,n/a,n/a
501,Brian Pillman vs. Mankind,06/09/1997,World Wrestling Federation,Singles,WWF RAW is WAR #213,Brian Pillman,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
502,Bart Gunn & Jesse Jammes vs. Mosh & Thrasher,06/08/1997,World Wrestling Federation,Tag Team,WWF King Of The Ring 1997,Bart Gunn,Jesse Jammes,Mosh,Thrasher,n/a,n/a,n/a,n/a
503,Faarooq vs. The Undertaker,06/08/1997,World Wrestling Federation,Singles,WWF King Of The Ring 1997,Faarooq,The Undertaker,n/a,n/a,n/a,n/a,n/a,n/a
504,Ahmed Johnson vs. Hunter Hearst Helmsley,06/08/1997,World Wrestling Federation,Singles,WWF King Of The Ring 1997,Ahmed Johnson,Hunter Hearst Helmsley,n/a,n/a,n/a,n/a,n/a,n/a
505,Jerry Lawler vs. Mankind,06/08/1997,World Wrestling Federation,Singles,WWF King Of The Ring 1997,Jerry Lawler,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
506,Crush vs. Goldust,06/08/1997,World Wrestling Federation,Singles,WWF King Of The Ring 1997,Crush,Goldust,n/a,n/a,n/a,n/a,n/a,n/a
507,"Jim Neidhart, Owen Hart & The British Bulldog vs. Road Warrior Animal, Road Warrior Hawk & Sycho Sid",06/08/1997,World Wrestling Federation,Six Man Tag Team,WWF King Of The Ring 1997,Jim Neidhart,Owen Hart,The British Bulldog,Road Warrior Animal,Road Warrior Hawk,Sycho Sid,n/a,n/a
508,Shawn Michaels vs. Steve Austin,06/08/1997,World Wrestling Federation,Singles,WWF King Of The Ring 1997,Shawn Michaels,Steve Austin,n/a,n/a,n/a,n/a,n/a,n/a
509,Hunter Hearst Helmsley vs. Mankind,06/08/1997,World Wrestling Federation,Singles,WWF King Of The Ring 1997,Hunter Hearst Helmsley,Mankind,n/a,n/a,n/a,n/a,n/a,n/a
